[00:00:00] 行きます。スーパー。ハロハロ。
[00:41:12] うん。そ、ちょっと噛み合うところ見てみたいな。
[00:41:14] うん。僕もうさミでもケ用すると思う。やっぱり
[00:41:16] でもあのパンチえげつないから。
[00:41:18] ああね。
[00:41:19] これはほんま生で見ていたらマジでほんまにえげつないから。音が音とスピードほんまに強
[00:41:24] 今で見た中で一番強いらしいですね。打撃。
[00:41:26] いや、一番強い。もう練習練習でこう見るやん。
[00:41:30] じゃ、打撃のこの破壊力とか音とか見た時に
[00:41:33] はい。
[00:41:34] うわ、これ違うなって。物が違うなって。
[00:41:36] 違う。まね。でももうちょっと前にさ、言ってくれたらね、ま、本人も絶対
[00:41:39] 1番分かってるんでしょうけど。
[00:41:41] うん。だからパトも今回だから復帰戦なるわけやんか。この前桜選手にやら負けて負けての今回復帰戦やから。
[00:41:48] そうですね。だ、怪我って大丈夫なんすかね?ちなみに。
[00:41:50] 大丈夫。うん。
[00:41:52] もうすっかりあの、怪我なくると思うから。
[00:41:56] ま、追い込み中、追い込み中にね、怪我だけしないよ。もう追い込みも終わりやな。もうやから。
[00:42:01] うん。
[00:42:02] はい。じゃあこれは2
[00:42:04] 人ともパトリックの勝利予想ということで
[00:42:06] はい。
[00:42:06] はい。じゃあ次行きましょう。
[00:42:08] はい。
[00:42:09] これ次はこのま、女子の試合に関してはこれちょっとフェルス選分からへんから。
[00:42:13] そうね。
[00:42:14] これはちょっとま、パスさせてもらって
[00:42:16] はい。
[00:42:16] 大田信選手と金太郎選手
[00:42:18] はい。
[00:42:19] この試合です。
[00:42:21] ぐー。
[00:42:22] これはでもマッチメイク的にあ、大田選手金太郎選手とやるんやみたいな。
[00:42:26] ま、いいカードっすよね。
[00:42:28] うん。
[00:42:29] これね、金太郎選手もATT
[00:42:30] で、ま、修行積んでる、積んでて、前の試合がな、ヒールフックあれがお見事やって。
[00:42:35] はい。はい。
[00:42:36] あれで、あ、ATT
[00:42:38] でなんかちゃんとしっかり練習してるんやなって。
[00:42:40] そうすね。
[00:42:41] こ間見れるわけやんか。
[00:42:43] うん。うん。
[00:42:44] ま、でもその前がね、こうヤジオ選手と秋本清馬選手やられてるからな。
[00:42:49] うん。俺、ま、これさっき言うかな。
[00:42:51] はい。
[00:42:52] うん。ま、俺は大田信選手の判定かなって
[00:42:56] 僕ね、おと思うんすよ。
[00:42:58] あの、大田のがコンディション良かったら
[00:43:00] コンディション悪いでしょ。
[00:43:01] うん。悪いかな。あの、手術かな開けてからやったっけ
[00:43:05] プラスなんか前人体かなんかを損傷したんすよ。
[00:43:08] え、その情報知らん俺?
[00:43:10] いや、自分で会見で言ってましたよ。損傷また膝多分怪我してで
[00:43:15] なんか全然練習できてなかったって言ってたんで。それでどうなるかっ
[00:43:19] 多分もう体がマシいなんすよ。やっぱオリンピックとかでレスリングとかずっとやってるから。
[00:43:24] うん。
[00:43:24] それコンディションしないと思う。
[00:43:26] ごめん。
[00:43:26] ちょっとそれはちょっと情報部族やったわ。
[00:43:28] うん。会に打ってましたよ。
[00:43:31] え、じゃあちょっと厳しいなってこね。
[00:43:34] うん。で、金太郎もメキメキ強くなってるでしょうから
[00:43:37] ATTって。
[00:43:38] はい。はい。金太郎な、あの、昔大阪で練習してる時に
[00:43:41] はい。
[00:43:41] 打撃の選手や。
[00:43:42] はい。
[00:43:43] じゃ、レスリングとかもほんまにメるみるうちに強なってて
[00:43:46] はい。
[00:43:46] で、技も結構強いんよ。
[00:43:48] はい。
[00:43:48] で、そっから俺見てないからめっちゃ成長してるわけやんか。
[00:43:53] はい。めっちゃ今寝技強いらしいですよ。
[00:43:55] あ、そうなん。
[00:43:55] はい。
[00:43:57] ま、そんなん聞いたら稲垣組で無双してるとか聞きましたけど。
[00:44:02] うん。
[00:44:03] マジで強い。
[00:44:04] 誰?
[00:44:05] ま、ちょっととある人から。
[00:44:07] とある人から。
[00:44:08] はい。
[00:44:10] やっぱATT
[00:44:10] ってもうめちゃくちゃもグラップラーなってるらしくて。
[00:44:12] うん。ま、そうだなちらっと聞くな。
[00:44:15] うん。
[00:44:16] そつなく全部できるみたいな。
[00:44:17] そうっすね。うん。どうなんでしょうね。
[00:44:22] ああ。どっち?
[00:44:25] ま、でも太田。
[00:44:26] あ、太田。ま、俺もまあ、太田選手かな。
[00:44:30] これ太田負けたらマジきつい。すきでも金太もか。そういう試合ですよね。
[00:44:34] ああ、こ、そうやな。これでもほんまに負けたら太田選手は立ち位ちょっと失うよな。
[00:44:39] うん。大の部はもう色気づかずにもう突け切れた方がいい。絶対もう勝つことが全て。
[00:44:44] うん。だからさ、あの昔佐藤戦やったやんか。
[00:44:46] はい。
[00:44:47] あん時ずっとついてて結局それが攻撃のたアタックのあの動きがないって言われて負けたや。
[00:44:54] はい。そう。
[00:44:55] そうな、そうなる可能性もあるわな。
[00:44:56] うん。そうすね。ま、
[00:44:58] そこはもう本人も経験してるから
[00:45:00] はい。
[00:45:01] これしたらあの判定で負けるってのも分かってると思うから。はい。はい。
[00:45:05] あ、まあまあ、これも俺も太田選手
[00:45:06] でも面白い。マジこれ勝負論があって
[00:45:08] 金太郎選手の成長が見れるって感じ。
[00:45:10] そうですね。
[00:45:11] じゃあ次行きます。次は高木涼選手とリカウ選手。
[00:45:15] はい。これですよ。Dカメ選手はロード2
[00:45:19] で活躍してた選手でワンドでも出てはい。
[00:45:21] うん。そんで中村選手にこの前に負けてんねんな。
[00:45:25] はい。
[00:45:25] ロード2でこれ見とった。
[00:45:27] はい。
[00:45:28] すごかった。
[00:45:28] 僕も見てました。
[00:45:29] うん。
[00:45:30] 高木選手も勢いついてんな、これ。この前木村選手に買ったんすごかった。
[00:45:35] ね。僕ね、これの勝敗要素自信あるんすよ。
[00:45:38] 自信ある。
[00:45:38] はい。高木。
[00:45:40] 高木選手。
[00:45:40] はい。
[00:45:41] 行っちゃう。高木選手
[00:45:42] 行っちゃうと思うっす。
[00:45:43] それはなぜ?
[00:45:44] いや、当たんないと思う。
[00:45:45] もうマジでディフェンス面がもうすごい。
[00:45:48] ああ。
[00:45:49] 何よりも木村也にあの乾想するってすごいっすよ。あ
[00:45:53] うん。
[00:45:55] 木村集のパンチをあんな見切って
[00:45:57] うん。
[00:45:58] まあなそうやな。その前にも三宅選手にも買ってるしな。
[00:46:00] うん。ああ、そっか。
[00:46:01] 宮選手も強いもん。
[00:46:02] そうっすね。
[00:46:02] うん。そうやな。ま、
[00:46:05] 松本魔線もすごかったし僕でもフィニッシュは難しいと思うな。打たり強いし。リーカエ
[00:46:11] ああ
[00:46:12] 判定たきかな。
[00:46:15] 俺はリー連れんかな?
[00:46:16] あ、そうすか。
[00:46:17] はい。
[00:46:19] ま、でもわかんないですよ。確かにも
[00:46:21] でも基本は高木ペースとは思うんすよ。でもリーカのパンチが当たるかどうかっすよね。どっかで。
[00:46:26] うん。だからその距離の取り方がやな。高木選手からしたらそこの防波堤超えられたら多分しんどいと思うけど
[00:46:33] しっかりきっちりその自分の距離で戦えたら、ま、高木選手勝つんかなって思うけど俺は中入
[00:46:39] 入ら全然ありえると思う。確かにそれも
[00:46:42] うん。うん。
[00:46:43] 中村な、中村選手でやった時もなんか聞かしてるはずやねんな。
[00:46:47] はい。
[00:46:48] 効かしてそれでどんどんちょっと寝られへんやってみたいな感じやからだからそこの掛け合いがあるから
[00:46:54] 聞かせられへんかったらもうどんどん前に出てくると思うねんな。目です。
[00:46:58] はい。
[00:46:58] ね、これ入れずにめちゃくちゃ入ってて
[00:47:01] はい。
[00:47:02] ま、鼻のある選手やから。
[00:47:03] そうすね。
[00:47:03] うん。
[00:47:04] じゃ、これはじゃあジンが高木選手で
[00:47:07] はい。
[00:47:08] 僕カメ選手。
[00:47:09] はい。これもでもおもろいっすね。
[00:47:10] うん。
[00:47:11] うん。いや、このカードめっちゃいいよ。
[00:47:12] めっちゃいいカード。
[00:47:13] あ、いい回面来できたと思ったもね。
[00:47:15] うん。
[00:47:16] じゃあ次行きましょう。
[00:47:17] はい。
[00:47:17] これ平本選手とこ選手エシビジョン。
[00:47:20] はい。
[00:47:21] だ、これはもうエキシビジョンで判定ないねんな。
[00:47:23] はい。
[00:47:24] で、一応KOでKO
[00:47:26] しても勝ちにはならんとこかエキシビジョンやから、
[00:47:29] ま、判定はないけど、
[00:47:31] ま、一応決めましょう。
[00:47:32] はい。
[00:47:33] 僕はもうこれは平本選手慶王勝利です。
[00:47:37] もうマジで本当あり得ると思う。それ
[00:47:39] うん。
[00:47:39] なんかこう世間では高選手がディフェンス強くて絶対強いから
[00:47:43] うん。
[00:47:44] それはなかなか難しいやろうっていう声もあるけど、ま、平本松本選手行くんちゃう?それは。
[00:47:49] だから音数ですよね。今回
[00:47:50] 10音数全然倒せますよね。
[00:47:52] うん。うん。ちっちゃいしよ
[00:47:54] ね。1番効くんじゃないぐらいの
[00:47:56] なんか音素な気がする。
[00:47:57] うん。
[00:47:57] ただ浩司選手もだからこれでずっと固めて
[00:48:00] 3分3ラウンドか。
[00:48:01] はい。はい。
[00:48:02] ま、うん。倒されへん戦い方をに徹するんやったらそれわからへんと思うけどでもそん中でも絶対ボディとか持ってくるわけや。
[00:48:09] そうする。
[00:48:10] うん。
[00:48:11] どうなのかな。僕判定つくとしたら
[00:48:15] うん。
[00:48:17] いや、でも本当ドローみたいな試合になると思う。もう分かりづらい。
[00:48:22] 分かりづい。
[00:48:23] 有効名は平本が当てるけど前にプレッシャーかけて手数多いのは工事って感じで。
[00:48:27] うん。ああ、そういう系。
[00:48:29] うん。倒せる可能性もあると思うけどやっぱり俺
[00:48:31] うん。
[00:48:32] ドロードロー
[00:48:33] ドロー。
[00:48:33] あの判定あるとして
[00:48:34] うん。あうん。うん。
[00:48:35] ま、マストだったらどっちか。
[00:48:37] でも工事が勝つから
[00:48:41] マジで俺をその俺は平本選手かなって俺普通にも
[00:48:46] まタイ差もあるしそう。体もでかいやんかなんかな。
[00:48:49] あ、だから平本選手これ浩司選手にそのどっこ攻どっこの試合したら結構勝値
[00:48:56] いやると思うよ。
[00:48:57] これはでも俺そうなると思う。
[00:49:00] なる。ああ、俺はでも行くかなと。ま、ど、ま、ど、ま、蓋けてみわからんわな、これに関しては。
[00:49:06] でも体重さ、平本のが重いじゃないですか。
[00:49:09] うん。
[00:49:10] それはだいぶ不利してる。工事からさ。工事って
[00:49:13] 例えば軽いやつにはめちゃめちゃ強いと思うんですよ。あの、ずっとプレッシャーかけるで、
[00:49:17] それがあんま行かせれなくなるんすよ。体重下がったら。
[00:49:20] その戦い方が
[00:49:22] でもどっこいどっこいると思う。
[00:49:24] うん。ま、でも蹴りが蹴りないもんな。
[00:49:26] うん。に明確にかつってマジ難しいと思うすよ。
[00:49:29] うん。
[00:49:31] ま、そやな。
[00:49:32] ま、でももうかなりでもな、打たれてる、打たれてると思うから、ま、多少ないともダメージもあると思うから。
[00:49:39] はい。そうすね。
[00:49:39] ま、これは、ま、レ君も、ま、次の
[00:49:42] 9月の試合に向けての
[00:49:43] はい。
[00:49:44] ま、ちょっと1
[00:49:45] 回挟んどくっていうちょっとこう試合感みたいな感じで出てると思うしって感じやね。
[00:49:50] はい。はい。
[00:49:51] じゃあ次最後行きます。もフ
[00:49:54] vsボ
[00:49:56] でも正直メインとしては弱いっすね。
[00:49:59] だからこれね、
[00:49:59] 正直
[00:50:00] これごあの世間的に言ったらやっぱ神戸大会ってちょっとパンチ弱いなって。
[00:50:06] そうですね。ここにストラッサーキーチがおったらね、俺も
[00:50:09] 乗れるんですけどね。
[00:50:10] ほんまの前やってたらここにおったかもわからん。
[00:50:12] いや、マジおったかもわかんないですね。
[00:50:13] ほんまに。
[00:50:14] うん。
[00:50:14] まあまあ次の楽しみということで。はいはいはい。
[00:50:17] で、本来はだから萩原平選手。
[00:50:19] まあまあ、そうすね。それも買ってたら
[00:50:21] いや、買ってなくてもこの試合に最初から入れて欲しかった。
[00:50:24] 確かになんで福岡大会なんでしょ
[00:50:26] やろ。
[00:50:26] ラジも今後悔してるでしょうけどね。
[00:50:29] マジで。うん。
[00:50:30] いや、でもあのカードがやっぱ全般的に弱いってやっぱ世間にはやっぱ声ある。聞くよ。
[00:50:35] で、そこで
[00:50:36] 平本選手と高一選手の試合を勝ち込んできて
[00:50:39] じゃ、なんとかこう
[00:50:40] そうそうすね。
[00:50:41] 抑えてきたって感じやんか。これだ外国人同士やからな。
[00:50:45] 日本人がおったら
[00:50:46] また変わってくると思うけど。
[00:50:47] はい。
[00:50:48] これむずい。俺はこれは正直難しいなっていう。
[00:50:51] うん。で、本当の字もふがわからん。
[00:50:53] うん。
[00:50:54] わからん。
[00:50:55] マジでもう寝技がどの点できるかも打
[00:50:57] うん。
[00:50:59] あんま打撃戦山本戦。ああ、でもあれかでもやってるか。
[00:51:03] ああ、なんかでもなやっぱ
[00:51:06] 2選手も山本選手も含めて
[00:51:09] なんかこのま、2人も強いけど
[00:51:11] その
[00:51:13] 今回の試合に向けてのなんかその情報としてこれを全部みにしてやるのはどうなんかな。
[00:51:20] KOで負けてるんやな。右フックで。
[00:51:22] あ、これあ、UAウォルや。うん。
[00:51:26] うん。
[00:51:27] これでもなんか見たことあんだよ、俺。負け、負けてるシーン。
[00:51:29] そう考えたらグストのパンチっても全然おかしくないし。
[00:51:32] でも1ラ8でや。
[00:51:34] うん。
[00:51:36] うん。だ、打たれ強いとかは俺は別にあの体やからないと思って。
[00:51:39] まあね、打たれ強くはなさそうな体すよね。正直ね。うん。
[00:51:43] 俺これな、これ、これはもうどっちがつくかほんまにこれ難しいとこやけど俺は
[00:51:49] はい。
[00:51:50] グスタボちゃん。
[00:51:51] おお。あの、ほんま中入って
[00:51:53] ま、全然ありえると思う。パンチえげつないし。
[00:51:57] うん。俺結構グスタバ好きや。
[00:51:59] いや、僕も好きっすよ。
[00:52:00] い、これ、ま、そんくないで
[00:52:02] 好きでもグスタバのあの前に出てくる
[00:52:04] はい。
[00:52:04] あれがちゃんと噛み合ったらグスタバ行くんちゃうかなと思。
[00:52:08] うん。全然あると思う。でもやっぱ僕若干のマフ有利と思うし何よりね、勝ってのはすいません。僕の思い入れですけど
[00:52:15] サトシに勝ってすぐまけられたらなんかもう悲しいわ。
[00:52:18] ああ、
[00:52:19] なんか頑張ってほしい。確かにな。
[00:52:21] なんかええ、まぐれだったんかいみたいな。
[00:52:23] うん。でもあれはでも試合も一瞬やったや。
[00:52:27] まあね。13秒よ。
[00:52:28] ああ。
[00:52:29] だからその13秒で買ったのはすごいけど
[00:52:32] はい。
[00:52:33] ちょっとやっぱ内容的に言ったら、
[00:52:35] ま、言うたら、ま、自己的なとこもありや。誘え込んだっていうのもあると思うけど。
[00:52:39] でもね、ジモフの、ま、膝が得意技との
[00:52:42] 1
[00:52:42] つでもあると思うんですけどグスタボにも当たる気がするな。前のミリで来るから。
[00:52:46] ああ、
[00:52:47] もに当たる気がする。
[00:52:48] でもグスタボはそんなタックルけえへんやんか?
[00:52:52] いやいや、タックルじゃなかったもん。普通に膝を
[00:52:53] 当たるかな。でもお互い長いから
[00:52:56] までも膝をやったら逆にパンチもらうかもしれないです。カウンターのフックもね。
[00:52:59] うん。だから技術的に言ったら細かい技術はの字もフや。
[00:53:02] うん。
[00:53:03] で、前ね更突進するインファイトは
[00:53:06] グスタやんか。
[00:53:07] うん。
[00:53:07] だ、これ1
[00:53:09] ラウンドで大体わ、分かりそうやけどな。雰囲気。
[00:53:11] そうね。
[00:53:12] うん。
[00:53:13] ジビンはちなみにこれは
[00:53:16] まあでもどムフかな。
[00:53:17] ああ、だからこれね、だから2
[00:53:19] 人とも悩んでるやんから、これだから蓋開けてみの分からないぐらい。
[00:53:21] わからん。ま、もふかな。ま、桜場がすごかったんですけど、もちろん桜場がすごいって前提なんですけど、最後のパンチ以外は別にもらってなかったすからね。
[00:53:32] ああ。ま、確かにな。うん。
[00:53:33] うん。で、のモフもそんなもらうと懐いし、桜みたいに
[00:53:39] うん。
[00:53:40] のじモフの方が桜場より絶対だけ強いと思うんすよ。
[00:53:42] あ、そうやな。そうやな。うん。
[00:53:44] うん。
[00:53:44] そう考えたらやっぱのジムフなかなかもらわずに最後すると思う。
[00:53:48] 3ラウンドのノジムフはい。
[00:53:50] 3
[00:53:50] ラウンド。うん。うん。ま、そな俺はもうグスタブちゃん行くわ。
[00:53:53] ま、でも本当それもあり得る。
[00:53:55] うん。でもほんまに両方勝つと思う。これ言ったらこういうの言ったらすごいかもわからんけど。
[00:53:58] はい。え、でもだから面白いカードすからね。
[00:54:00] うん。うん。うん。まあまあ、これ最終はじゃあお互いまた別れたと今回ね結構何個分別れたら
[00:54:06] はい。そうですね。
[00:54:07] うん。
[00:54:08] これちなみにあの配信ライブは
[00:54:11] やります。
[00:54:12] おお。底王。
[00:54:14] ちゃんもやめたんですか?
[00:54:16] 僕はね、ちょっとね、あの、この時ちょっとあの、用事で
[00:54:20] なんかビっちゃいましたね。
[00:54:21] 用事で
[00:54:22] なんか
[00:54:23] 用事で
[00:54:23] ね、
[00:54:24] 用事であの母
[00:54:26] 守りに入ってますね。
[00:54:27] 母の日なんで
[00:54:28] はい。
[00:54:28] 母の日なんですか?これ。
[00:54:29] 母の日なんで、5月10日母の日なんで、
[00:54:32] 前からちょっとね、お母さん方をちょっと招待しておりまして
[00:54:36] ああ、それでもいいすね。
[00:54:38] ね、あの、母の家なんで
[00:54:39] はい
[00:54:40] はい。
[00:54:40] 僕あの神戸の横の淡路島に行っております。
[00:54:44] ええ、僕それマジで母ハの日ってよくわかんないですけど、ま、
[00:54:47] 5月も近時間あるの知ってるけど。
[00:54:48] 5月10日なんですか?え、
[00:54:49] 5月10日じゃないん?
[00:54:50] それ毎年そうなんですか?10
[00:54:51] 日なんですか?僕ハム分かってなくて
[00:54:53] 多分そんなと思うと。多分9日じゃない。
[00:54:55] 10日と思う。9日なんですか?
[00:54:56] いや、多分10日と思う。
[00:54:58] ちょっと俺も母親上親になんかしようかな。
[00:55:00] いや、嬉しいんじゃん。お母さん。
[00:55:02] まあね。
[00:55:03] うん。そんなん俺にな、そジ員の件くれるやったらお母さんになってよ。
[00:55:08] 確かになんかね、した方がいいかもしれないですね。
[00:55:10] もらっといてこんなん言うのもないけど、あ、絶対なんかしおるわ、この男。
[00:55:13] はい。いや、でもあんまりそういうのしないんですよ。僕親、僕プレゼントとか大好き人間なんですけど、親にはあんまりそういうのしないんですよ。
[00:55:19] でもね、なんかもうこの年なってきたら
[00:55:21] はい。
[00:55:21] もう親ないつまでもう生きてるかって言ったらわからんやん。
[00:55:25] そうすね。
[00:55:26] その長意きこれからこれからこれからもしてもらうけど
[00:55:29] ええ。
[00:55:30] ほんまに明日のどうなってわからへん。自分そうや。
[00:55:31] あ、そうすね。
[00:55:32] うん。だから今できることはやっぱやりやるなあかんなって俺思ってんね。
[00:55:37] そうっすね。
[00:55:37] だうん。
[00:55:38] だ、もうこうなってきたや後悔したくないよ。
[00:55:40] はい。
[00:55:41] 後悔せずに生きていきたいや。
[00:55:42] そうすね。
[00:55:43] あ、こうやっとけばよかったなと。こういう優しい言葉かけとけばよかったなとか。
[00:55:46] そうすね。
[00:55:47] ほんまやん。
[00:55:48] はい。
[00:55:49] やりましょう。親高校みんなしていきましょう。親高校親いてる方はね、
[00:55:52] もうつかはね、あの天国の方にま、ま、ま、ま、でもね、そうですからね。
[00:55:58] ほんまにやっぱこう
[00:56:00] 墓行かなあかんし。
[00:56:02] はい。
[00:56:02] もう死んだ前提や。もう
[00:56:04] ちゃご先祖様を大事にするっていうことでね。
[00:56:07] ほんまに
[00:56:07] 生きてるうちに墓言ってることじゃうちのうちのお母は父親の分までちゃんと長気に健康にもないんで僕もちょっと親庫まだできてないんですけど
[00:56:18] 親方校させていただきます。
[00:56:19] はい。じゃこんな感じでね終わります。じゃあ便のところではまたあの豪快に行こうと思いますんで
[00:56:25] はい。
[00:56:25] じゃあ皆さん最後までありごました。
[00:56:27] はい。
[00:56:27] ハロハロー。あな、
[00:56:32] ほんまにも、もうこのお金いらんお金で俺買収しようとしてからほんまにほんまに
[00:56:37] 買収じゃ。
[00:56:38] いや、もうもうほ、もうプレプレゼントっていプレゼントな。それで
[00:56:43] 5万円
[00:56:44] 殺さようた瞬間にやっぱりこの2
[00:56:46] 万円足りひんで足りひんから渡そうとしてくる。このもいらんもほんまに
[00:56:51] こういう男な。ほんまにほんまに裏でえぶりやだってほんま
[00:56:55] ありがとう。
[00:56:58] ソラッサーキーチを年間でサポートしていただいてる企業様です。も応援ありがとうございます。共に戦っていただける企業様、個人様がましたら応援の方もどうぞよろしくお願いします。
