[00:00:01] きしょきし
[00:50:38] 大輔ってエンターテイナーなんで、そう
[00:50:40] いう試合が求められてると思って結構サブ
[00:50:42] ミッション合戦に行きそうな気がするしね
[00:50:44] 。そうなったら桜場のが有利だと僕は思っ
[00:50:47] てるんで。うん。ま、これもう蓋を開けて
[00:50:49] みないとわかんないですけどね。桜場の
[00:50:51] 寝技とかも打撃もまだ全然わからん部分
[00:50:53] あるけど。うん。でもやっぱり勢いもある
[00:50:56] し。勢いが仲村大結局ね、めっちゃ連敗し
[00:50:59] てるしいい試合とはいえでね、この前雷人
[00:51:02] で買った、え、桜場体勢いも違うし体重も
[00:51:06] 違うし桜場でしょう。桜場が2ラウンド
[00:51:10] アンクルホールドでうん、1本勝が勝ち。
[00:51:14] 蹴り足掴足カに来たところにカウンターで
[00:51:16] はい。予想にしておきます。はい。でも
[00:51:20] 桜場には本当今後期待やし、この動き次第
[00:51:22] では今後のライト級の2本を背負うような
[00:51:26] 男ですよね。はい。超期待です。はい。で
[00:51:29] は次行かしていただきます。で、次
[00:51:32] が、え、ちょっと後半戦か。えー、第8
[00:51:37] 試合新龍
[00:51:40] 誠伊藤佑き
[00:51:43] 。うーん。これもでも本当勢いって大事だ
[00:51:48] と僕は思ってるんですけど。ちょっと勢い
[00:51:50] の落ちてきた新龍誠
[00:51:53] とうん。今勢いのあるノリに乗ってる伊藤
[00:51:57] 佑きの
[00:51:58] 試合なんですけどね。うん。やっぱどうし
[00:52:02] たって心龍誠は多分自信あると思う。この
[00:52:05] 試合相性的にもあると思うけどやっぱり、
[00:52:09] え、朝倉ミクルじゃないけどここ最近負け
[00:52:13] てしまってるってイメージがま、負けて
[00:52:15] ないのか。あ、まあトーレスに負けたけど
[00:52:17] 、ま、ケタ線の買ってんのか。ま、でも
[00:52:19] あれギリギリだったし、結構悪いイメージ
[00:52:21] あると思うフラフラなって後頭部とはいえ
[00:52:24] うん。かつてのようなメンタルじゃない気
[00:52:27] がするよね、俺は。うん。で、伊藤ゆきは
[00:52:31] ね、この前買ったのもすごいし、ラナミー
[00:52:33] に買ったのす。やっぱボクシング
[00:52:35] テクニックだったら右に出るやつおらんよ
[00:52:38] ね。めちゃくちゃいい。うん。MMAでね
[00:52:42] 、え、ボディの攻撃パンチで打てるやつ
[00:52:45] なかなかおらんけど。伊藤ゆきはそれが
[00:52:48] いいもんね。うん。ボディ打たれたら結構
[00:52:52] タックルも行きづらくなると思うしね
[00:52:55] 。うん
[00:52:56] 。でもやっぱりアーセン戦とか見て
[00:53:00] もうん。で、アーセンに負けてるわけし、
[00:53:03] 伊藤佑き
[00:53:04] はやっぱレスラーとかグラップラーには
[00:53:07] きついんじゃないかなってやっぱ思っ
[00:53:09] ちゃうんやけどね。ただま、もちろん散々
[00:53:10] 練習してるでしょ、その対策。うん。そこ
[00:53:14] がね、ダメなポイトって分かってる
[00:53:16] でしょうから。伊藤も当然ながら散々練習
[00:53:19] してるはずなんで、そこの成長みたいよね
[00:53:22] 。でも成長が見えてないね。ま、現時ま
[00:53:25] 測れないじゃないですか。最近の試合で
[00:53:27] しか最近の試合打撃ばっかりやし。それ
[00:53:29] だけで考えたらやっぱ新龍誠だと僕は思っ
[00:53:33] ちゃうんですけど。うん。新龍誠が
[00:53:37] テイクダウン行ってうん。チョークで決め
[00:53:41] てもおかしくない気がするけど。うん。
[00:53:44] 伊藤はでも死体になったりするけどサブ
[00:53:47] ミッションの対応とかできる気がするんや
[00:53:49] けどな
[00:53:50] 。チョクとか決めは難しいんじゃないかな
[00:53:53] と思うけど。うん。新龍誠はもう一切打撃
[00:53:57] 戦やる必要ないよね。うん。ひたすら組め
[00:54:00] ばいいと思う。うん。だからここで負け
[00:54:02] たらマジやばいから。新龍もうん。だから
[00:54:05] もう一切撃戦やらずにうん。組みまくって
[00:54:10] そこでフィニッシュできればいいよね。
[00:54:14] うーん。ここはでも新年誠は勝つんじゃ
[00:54:17] ないかなと思うけどね
[00:54:19] 。ただもう伊藤勇のこのね、ノりに乗っ
[00:54:22] てる感じ怖はある。怖はある。あと契約
[00:54:26] 体重が59kですしね。ちょ、糸勇気に
[00:54:28] 合わせた体重。今回は多分原料が難しくて
[00:54:31] ね。さ木さんが言った
[00:54:32] けどうー。そこも糸勇きね有利やし。うん
[00:54:38] 。ちょっと怖さはあるけど伊藤ゆのね、
[00:54:40] もう本当メンタル面的にも勝てると思っ
[00:54:42] てるでしょうし。
[00:54:44] うん。新龍でも新龍が勝つ気がする俺は。
[00:54:48] でも一般難しいと思ってて。うん。判定で
[00:54:53] 新龍結構でも干渉でうん。干渉で3対0
[00:54:58] 新龍
[00:54:59] 誠にしておきます。はい。では次行きます
[00:55:02] 。えっと、次がシナカリミアン
[00:55:07] V浩
[00:55:09] 。はい。このカードなんですけどね。ま、
[00:55:12] 色々文句も言いましたけど、まあね、一応
[00:55:15] 勝敗予想しましょうか
[00:55:16] 。本当にひどいカードですけど
[00:55:19] 。うん。やっぱり考えたらムかついてくる
[00:55:22] んですけど、このカード。うん。マジ
[00:55:25] 高体ね、朝で良かったし。うん。ちょっと
[00:55:29] 階級違うかもしれないですけど、ま、
[00:55:32] シナカ宮線より圧倒的にいいし。ま、これ
[00:55:35] 無理だったんでしょうけど。レオナペダス
[00:55:36] で良かったけど。うん。それでいいやん。
[00:55:38] レオナペダスで。何このカードって感じ?
[00:55:42] マジで?うん。なんですけど、
[00:55:44] 品ナカリミアムかつくしな。なんかうん。
[00:55:49] 98km契約でボクシング、え、
[00:55:54] ルール8で工事がしかりみアンが12か。
[00:55:58] で、これ判定あるよね。一応ルール調べた
[00:56:01] んけど、はっきり書いてなかったけど。ま
[00:56:02] 、判定あるよね、これね。うん。で、ま、
[00:56:06] まず勝利勝敗予想からしたいんやけど、ま
[00:56:10] 、これ工事が勝つと思います。はい。工事
[00:56:13] が判定で勝つと思います。はい。別に絶対
[00:56:17] 的な自信があるわけじゃないけど、え、
[00:56:19] これも何度も言ってることですけど、打撃
[00:56:21] は基本的にはですけどスピードがある方が
[00:56:25] 有利です。基本的には組み技はそうじゃ
[00:56:28] ないけど、組みだったら圧倒的に重い方が
[00:56:31] 有利。組技もね、ま、アームドラッグ使っ
[00:56:35] たりとか、ま、下からの攻めである程度
[00:56:37] なんとかなったりもするんやけど、特に
[00:56:38] 十技があればでも組み技よりも打撃の方が
[00:56:42] 、え、体重下がってもうん。いや、ま、
[00:56:46] そんなこともないか。ま、でも1番は
[00:56:48] スピードっていうのがうん。1番有利に
[00:56:52] なる気がします。はい。パワーとかよりも
[00:56:54] ね。で、この人ただうん、足を使えたりし
[00:56:59] たら工事が圧倒的に有利だと思うんです
[00:57:01] けど、ま、工ジもね、うん、前に行って
[00:57:07] 打ち合いで男着気見せるみたいな感じで
[00:57:09] 試合後とかも言うと思うんすけど、俺は
[00:57:10] 逃げずに戦ったみたいなファンのため
[00:57:13] なんか仲間のためみたいな応援してる
[00:57:15] みんなのためにね、なんかみそぎマッチで
[00:57:17] 頑張ったみたいなこと言うと思うけど、ま
[00:57:18] 、これしかできないですからね。工事は前
[00:57:20] に行って打ち合うしか絶対できないやつ。
[00:57:23] できてるならやってるはず。うん。で、
[00:57:25] できないはずで前に行ってあのね、ガード
[00:57:29] 固めて頭付き合わせて打ち合いっていう
[00:57:32] 戦い方しかできないんで、それをやると
[00:57:33] 思うんですけど、工事はそうなったら
[00:57:36] 体重い方が有利有利にはなるよね。うん。
[00:57:40] だからちょっと分からんなと思うんやけど
[00:57:41] 、足を使えたらシナカリミアはうん。あの
[00:57:45] 、捉えることが難しいと思うけど、近い
[00:57:48] 距離の打ち合いになったらしカニミアンの
[00:57:50] ね、体重差も出てくるとは思うんやけど、
[00:57:52] ま、でも手数が違うでしょ。やっぱ工事
[00:57:55] って撃たれ強い
[00:57:56] しで押し切る気がするけど工ジがうん。
[00:58:01] これ3分3ラウンドか。ケ数で、え、工事
[00:58:04] がシナカりアンを押し切って、えー、判定
[00:58:08] で勝てるんじゃないかなと思うんや、今日
[00:58:10] はね。うん。でももう1ラウンドから
[00:58:13] ガンガン行ってほしいし、ま、行くんじゃ
[00:58:14] ないかな、工事は。うん。でも近ければ
[00:58:18] 近いほどシナカリミアンの攻撃もうん。
[00:58:21] 攻撃力もなくなるし中波端の距離で戦うの
[00:58:24] が1番良くないよね。だから工事はうん。
[00:58:27] 男着っていうのを縦にして前に行けばいい
[00:58:30] と思う。ひたすらもう本当近づいて資金
[00:58:32] 距離なったら白カミはもう強い攻撃打て
[00:58:35] へんしね。うん。解説のやつとかそれでね
[00:58:38] 、うお銃はもうこのヘビー級なのに
[00:58:41] ねビビらず前に行ってるみたいなこと言う
[00:58:43] んでしょうけど。可能栄光とかがより言う
[00:58:45] んでしょうけども。うん。そうじゃなくて
[00:58:46] それしかできないんですけども、より
[00:58:48] 近づいていって頭を付き合わしてそしたら
[00:58:50] シナニ宮の攻撃もそれも防御になるんで。
[00:58:53] うん。それで打ち合って手数で上回って
[00:58:56] はい。買ってください。工事が判定がち
[00:58:59] 予想ですけど。これシナカりゃんが爆し
[00:59:02] たらどうするみんな
[00:59:03] ?そして浮きそうやしな。それ
[00:59:06] でうん。それとか反則行為とかなんか掴ん
[00:59:10] だりとかも全然しそうやな。工事が
[00:59:12] ひたすら前に来たら頭持ってこうやって
[00:59:16] 殴ったりとかそれオッケーなんかな。その
[00:59:18] ルールもよくわからんけど。それで
[00:59:20] 後頭部分殴ったりもしょ。こうやって掴ん
[00:59:21] でこうやって後ろから
[00:59:26] うナカりみやんがもし王ちしたらマジで
[00:59:30] 気分悪いけどね、正直。いや、この体重差
[00:59:32] って意味でね。うん。後味悪くなります
[00:59:36] けど、ま、工事判定がちではい。予想にし
[00:59:39] ておきます。では次行きます。級
[00:59:42] トーナメントで欠場者が出ております。え
[00:59:47] 、僕これ1番楽しみしてたんですよね。
[00:59:50] イズラムベック、
[00:59:53] ベクティペックウル対アレクサンダー
[00:59:57] ソルダトキンっていうね、え、みんなどう
[01:00:00] でもいいと思ってるでしょうけど、僕は
[01:00:02] ちゃんとこの試合調べてきて、僕1番好き
[01:00:05] な選手だったんですよ。このウルー選手。
[01:00:09] えー、キルギスのこの選手が僕の中で優勝
[01:00:14] 候補筆頭でした。
[01:00:17] えー、ベクティクベック、ベクティベック
[01:00:20] ウルー選手。うん。これはルーちゃんで
[01:00:22] いいかな?うん。このルーちゃんが1番僕
[01:00:26] の優勝候補で、ただま、ソルダ金も
[01:00:30] めっちゃいい選手で強いから、ま、どっち
[01:00:32] かつがこれめっちゃ難しいんやけど、え、
[01:00:35] ルーちゃんがね、めっちゃパンチがいいの
[01:00:37] よ。なんかね、マークハントみたいな、
[01:00:40] えー、ファイトスタイルやしい体型で結構
[01:00:43] お腹がの、え、お腹が出てて、そう、お腹
[01:00:46] が、お腹の肉がね、えー、そう、ファイト
[01:00:49] パンツに乗ってんのでも、それはそれで
[01:00:52] いいし、ま、酒井量よりは体まししやけど
[01:00:54] 、ちょっとお腹出てて、え、でもめっちゃ
[01:00:57] 俊敏でうん。これね、ルーちゃんすごい
[01:01:00] 期待できるしいいなと思ってて、これ優勝
[01:01:03] 候補なんじゃないかなと。ま、寝技の場面
[01:01:04] があんまり見えんかったから俺が調べた
[01:01:06] 限り。下になったらきつそうやけど、でも
[01:01:09] なかなか下にならんと思うしね。うん。
[01:01:11] これ書く時やってるやつだったら分かると
[01:01:12] 思うけど、一番テイクダウンしづらいわ。
[01:01:15] こういうお腹出てるタイプ。ま、柔道とか
[01:01:16] でもそうか。柔道とかレスリングでもそう
[01:01:19] 思う。こういううん。ず動ま、身長も結構
[01:01:22] 高いんやけど108188ぐらいあるんか
[01:01:24] な。000やったっけて。そんな身長も
[01:01:27] 高いんやけど。うん。188か。うん。
[01:01:31] こういう選手低手段もしづらいしになっ
[01:01:33] たらもろそうやけど打撃がねめっちゃ俊敏
[01:01:36] でねステップとかも使えるしこの選手いい
[01:01:39] なと思ってたんやけどね。ただもう1回
[01:01:42] それだ時もめっちゃ強いんやけどうん。
[01:01:44] 両方と共もにパンチャーで面白いなと思っ
[01:01:47] たけどこの試合中止。え、どっちのあれ
[01:01:49] だったっけ?
[01:01:52] えー、ソルタトキは大丈夫か?ルーちゃん
[01:01:55] が膝の怪我で中止か。ルーちゃん今後見
[01:01:58] たいな。これ面白かったけど今日ね、この
[01:02:01] 試合楽しみだったんですけど。はい。でね
[01:02:04] 、こういうね、俺わけわからん選手の時に
[01:02:08] 勝敗予想
[01:02:09] って、えー、これインスタのフォロワーで
[01:02:14] 見ればいいんじゃないかなっていうね、俺
[01:02:15] の説ちょっと考えてみたの。うん。それ
[01:02:19] 分からん人たちもこのインスタの
[01:02:20] フォロワーでもちろん絶対じゃないよ。
[01:02:23] 絶対じゃないけど大体の強さが分かるん
[01:02:25] じゃないかなと思って。発表していいよ、
[01:02:27] 俺。これヘビー級トーナメントのインスタ
[01:02:29] のフォロワーうん。別のフォロワーが全て
[01:02:32] じゃないけども大体の指標にはなる気が
[01:02:34] すんの。強かったら地元での地元でも人気
[01:02:37] あってうん。もちろん国のMMAの文化と
[01:02:40] かも色々そんなね、栄えてるかどうかも
[01:02:42] 違う違いあるんでしょうけど大体
[01:02:45] フォロワーで強さが分かるんじゃないかと
[01:02:46] 俺思って調べてみたんですよ俺。これこの
[01:02:49] データ。
[01:02:51] えールーちゃんがね意外と低いんですよね
[01:02:54] 。
[01:02:56] えっとね、ちょっと最下から発表すんの
[01:02:58] ちょっとかわいそうな気もするけど、
[01:03:00] ちょっと、ま、最下から発表してヘビー級
[01:03:01] トーナメントのインスタフォロワー
[01:03:03] ランキング。はい。ま、最下位が祭。うん
[01:03:07] 。ま、シね、喋ったメディアにあんま出て
[01:03:10] きてないからね。ま、しょうがないんです
[01:03:12] けど。シマが2819人でした。俺が調べ
[01:03:16] たです。ついさっき調べたんですけど。え
[01:03:18] 、が8位でで、え、7位がルーちゃん。
[01:03:24] うん。517人ルーちゃん俺1番期待で
[01:03:28] このいきなりこの説がね、ちょっと合わ
[01:03:30] なくなってくるんですけど。で、第6位
[01:03:34] ジョゼウグスト。これ、ま、スダリオ強し
[01:03:36] の対戦相手ですね。7569
[01:03:39] 。うん。で、第6位、
[01:03:43] え、川尻さんが1番、え、最優秀、え、
[01:03:46] 優勝候補に上げてたサモ。これが9040
[01:03:50] 。はい。で、えー、第何位だったっけ?
[01:03:56] その次がソルダトキ。俺のおすすめのルー
[01:03:59] ちゃんの対戦相手が9897。はい。で、
[01:04:04] え、次3位か。3位が上田三夫で1.1番
[01:04:09] 。はい。で、第2位がダオ強しで2.1番
[01:04:14] 。第1位がですね、ダト。ダトなんですよ
[01:04:19] 。1位。これ最初からね、これ順位言わず
[01:04:22] に当てれた人すごいと思うけどダニエル
[01:04:25] ジェームスはい。これが8万000人もい
[01:04:28] ます。はい。これベラトゥール出てるから
[01:04:30] とかあるんでしょうけどね。でもなんか
[01:04:32] こういう風に結構これで分かるんじゃない
[01:04:35] かなと俺思ったんよね。うん。ま、一応
[01:04:38] ちょっとすこんなしょうもないランキング
[01:04:39] ちょっと発表させていただきましたけど
[01:04:41] はい。こういう感じになってます。はい。
[01:04:43] で、えー、ま、勝敗予想、え、行きたいん
[01:04:47] ですけど、ま、ルーちゃんの試合い
[01:04:49] なくなったんですけど、え、あ、第1位の
[01:04:54] ダニエルジェームスVはい。えー、川尻
[01:04:58] 達也おすすめのサモ選手の試合なんです
[01:05:02] けど
[01:05:03] 。うーん、これね、ま、まずダニエル
[01:05:08] ジェームスに言いましょうがインスタワー
[01:05:09] 8万000人もいる。うん。ま、これね、
[01:05:13] 僕ね、嫌いです
[01:05:16] 。うん。なんかうざい。きしい。もう見た
[01:05:23] 目が本当に世界最強クラスに怖いんで怒る
[01:05:26] ようなら謝るけど。うん。怒ってるよう
[01:05:30] なら謝るけど。もうね、こいつね、
[01:05:33] ドーピング検査で2回も引っかかってます
[01:05:37] 。2022年の11月にね。うん。TKO
[01:05:41] で買ってるんやけど、その時に薬物班の
[01:05:43] 要請によって無効試合になって。で
[01:05:47] 、2024年にPFLレギュラーシーズン
[01:05:50] 1回戦で体重釣化もしてうん。で、ウル
[01:05:55] ムっていうやつにTKOで買ったんです
[01:05:58] けど、またもや薬物妖精。うん。で、これ
[01:06:04] が復帰戦になるんですけど
[01:06:06] 、もう体重釣化とかもするし
[01:06:10] 。うん。ドーピング2回引っかかってて、
[01:06:14] 今回ももう絶対怪しいやんと思っちゃい
[01:06:16] ますけどね。うん。2回やってやつ3回も
[01:06:19] やるでしょ。で、やっぱヘビーキってやる
[01:06:23] 選手多い気がするよね。やっぱ原料が
[01:06:25] 難しい。原料失敗する、そのドーピング
[01:06:28] 使ってるやつって多いけど、それ多分体重
[01:06:30] コントロールができんようになってくると
[01:06:31] 思うよね。体重が増えちゃうから。筋肉が
[01:06:34] 増えてドーピングでうん。ヘビー級ってま
[01:06:37] 、一応120km以下っていうね、契約に
[01:06:39] なってるけどうん。てかこれ120km
[01:06:42] 以下ってまずこれ俺必要なんかなと思った
[01:06:44] んけどね。怪獣大戦争とか言ってるし。
[01:06:48] いや、世界的にはUFCとかは120km
[01:06:50] 以下ってもちろん分かってるんやけど別に
[01:06:52] 雷人それに合わせる必要ないし、無差別で
[01:06:54] いいんじゃないと思うんやけどね。なんで
[01:06:57] これ120km以下にしちゃうんかな。も
[01:07:00] 無差別でプライドの時にそんなヘビーキ
[01:07:02] って言ったらね、階級なかったしルが
[01:07:05] めちゃくちゃ体重さあるね、ズールとかに
[01:07:08] 買ってんのとかそう書いてあったし。うん
[01:07:10] 。で、ヘビー級って、ま、打撃があったら
[01:07:13] ね、やっぱ重い方が有利か。でも組み技で
[01:07:16] あまりにも重かったらテイクダウンされ
[01:07:18] たらマジも脆ろすぎるから。うん。重けれ
[01:07:21] ば重いほど有利ではない気がすんのよね。
[01:07:23] これよし。別に俺そんなそこん世界に
[01:07:26] 合わせる必要ないと思うんやけどね。まず
[01:07:29] 思っちゃったけど。うん。で、またこいつ
[01:07:31] 体重超化する可能性あるし。ダニエル
[01:07:33] ジェームス。うん。でね、ジェームスね、
[01:07:35] 見たいんけど打撃めっちゃ強い。アッパー
[01:07:39] とかガヌーみたいなね、アッパー打ってて
[01:07:42] 相手が失進してて。うん。打撃は強い。
[01:07:46] うん。ま、荒ら削りやけどね。ま、全員
[01:07:48] 荒け削りか。でもスダリオの相手はそう
[01:07:50] じゃなかったな
[01:07:51] 。うん。1発あるんやけど、ま、でも
[01:07:54] こいつ43歳なのよね
[01:07:57] 。年齢的に結構きついんじゃないかなと
[01:08:00] 思っちゃうけど。で、対するサモチ
[01:08:04] カディルさんおすすめのこれ確かに強い。
[01:08:07] え、パンチめっちゃ強くて、ま、カーフ
[01:08:10] キックが1番の武器じゃないかな。で、
[01:08:12] ベアナックルのルールとかにもね、優勝と
[01:08:15] か、え、してたりしてて、あれでもMMA
[01:08:17] か。ベアナックルの。うん。これいいね。
[01:08:21] 寝技もできる。テイクダウンもできる。
[01:08:23] うん。で、オーストックスで構えるんや
[01:08:26] けど、このサムチェクの
[01:08:29] サムチ分かりづらい名前やな、もう。
[01:08:32] サムチの癖として。えー、サウスポーに
[01:08:37] 構えたらタックル来るよね。うん。
[01:08:40] サウスポーに構えたらタックル来るんで。
[01:08:42] え、俺がダニエルジェームス側にいたら、
[01:08:45] えー、サウスポーに構えてアタックル警戒
[01:08:47] しろっていう。多分オーストックスは入れ
[01:08:49] へんのじゃないかな。入れへんことことも
[01:08:51] ないと思うけど。うん。サウスポで構え
[01:08:53] たら片下来るとか踏んできます。はい。
[01:08:56] そこ警戒したいよね。ダリオムジェームス
[01:08:58] 。あとカーフキックがマジで重いんで。
[01:09:02] うん。装備はもらえそうな気がするけどな
[01:09:04] 。ジェームス
[01:09:05] 。うん。これジェームスのコンディション
[01:09:08] 次第でジェームスの慶王がもう全然あり
[01:09:10] 得ると思うけどな。サイズが違うし。お薬
[01:09:12] やってるのもあってジェームスの方が絶対
[01:09:15] でかいと思う
[01:09:16] 。うーん。
[01:09:19] スパンチで消え勝ちも全然あり得ると思う
[01:09:22] 。ま、これ全部勝負のあるんやけど。うん
[01:09:25] 。でも年齢もあるし。うーん。サモが有利
[01:09:31] なんじゃないかな。寝かしたら結構おもろ
[01:09:34] そうやしな。ま、ヘビー級全般に言える
[01:09:36] けど。うん。ヘビーキってやっぱ重ければ
[01:09:38] 重いほどね、起き上がりづらいんで。うん
[01:09:41] 。サモチックがカーフで削っていって
[01:09:45] テイクダウン簡単じゃないと思うけど。
[01:09:47] ゼームスのうん、簡単じゃないと思うけど
[01:09:51] スタミナもサムチのがあると思うんで、
[01:09:54] とりあえず1ラウンドしのげばサムチの
[01:09:56] ゲームになっていくでしょ。そっから
[01:09:57] テイクダウンして。うん。サムチク有利か
[01:10:01] な?サムチクが、え、2ラウンドパウンド
[01:10:04] で、えー、マウントからのパウンドで、え
[01:10:07] 、TKをガチ予想にしておきます。はい。
[01:10:10] では次行きます。
[01:10:13] え、ま、休憩か。ここでこのタイミングで
[01:10:16] 休憩入んの?へえ、そうなんや。で、休憩
[01:10:20] 明け第11試合津オ強しVジョゼアウスト
[01:10:24] 。
[01:10:26] えー、この試合うんね。僕ヘビー級のね、
[01:10:31] みんなと結構仲良くて、そうなんかね、
[01:10:33] 不良とかに絡まれたらすぐ電話しようと
[01:10:36] 思ってるやつがいっぱいいるんですけど。
[01:10:38] はい。ブレイキングダウンの変な連中とか
[01:10:40] に絡まれたら、え、江戸プロキングとか
[01:10:43] 上田清とかに助けてもらおうと思ってんや
[01:10:44] けど、ま、しびさも一応ね、仲間やし、
[01:10:47] あの、すリオには嫌われてます。はい。
[01:10:51] ブロックされてます。はい。そしてこの前
[01:10:53] も朝倉みクが俺にきしいって言った後
[01:10:57] 追い打ちかけてきてました。つりを強し。
[01:11:00] はい。そして1番怖いのはつり強しです。
[01:11:03] 1番的に回したくないのはつり強しで、
[01:11:06] 1番なんか手出してきそうで怖いです。
[01:11:08] 強しがはい。仲直りしたいです。はい。僕
[01:11:11] は全然嫌いじゃないんですけどね。はい。
[01:11:13] おい、打ちかけてきてたな。スリオ強しが
[01:11:15] ね。うん。で、まあね、選手としてはね、
[01:11:18] もちろんいいファイターで本当相撲出身の
[01:11:22] ファイターで1番打撃できんじゃないかな
[01:11:25] 。俺が見た限り。うん。セントリーとか昔
[01:11:28] いたけど全然スリオのがいいと。こんなね
[01:11:30] 、ストレートちゃんと打てる選手なかなか
[01:11:33] おらんし。うん。で、この対戦相手、これ
[01:11:36] でもみんな1番気になるんじゃないかな。
[01:11:37] ザリオ強しの対戦相手はどんな感じなのか
[01:11:39] 。ジョゼウグスト。え、これ強かったな。
[01:11:43] 調べてみた結果
[01:11:44] 。うーん。で、こういう選手苦手なんじゃ
[01:11:48] ないかなと思っちゃう。はね、超ヘビー級
[01:11:51] の方がスダリオ強しはいい気がするんや
[01:11:52] けど、ま、安保戦とか、ま、安保得意な
[01:11:55] ヘビー級ファイターおらんとは思うけど、
[01:11:57] これステップ使えたりとかま、でも加藤ひ
[01:11:59] もね、めっちゃあれ元々軽量級の選手や
[01:12:02] けどそういう動き回れる系動きが早い系
[01:12:06] 苦手だと思うんすけどスタリオはジョゼ
[01:12:09] アナグスト
[01:12:10] はアウグうん。あの、めっちゃ嫌な相手と
[01:12:15] 思いますがはい。元々93kmの選手なん
[01:12:17] ですよね。うん。ね、完全なヘビー級の
[01:12:20] スダリオ強しと、え、93kmから上げて
[01:12:24] くるアウグスト。うん。で、ま、そにかけ
[01:12:27] てスダリオ強し有利なんでしょうけど
[01:12:29] 。うー、ここはね、俺アウゴが勝っちゃう
[01:12:34] んじゃないかなと思っちゃうんやけどね。
[01:12:36] ま、もちろん全然わからんけどスダリオの
[01:12:38] パンチが当たればとは思うんですけど。
[01:12:42] うん。パンチいいし動き早いしも軽量級
[01:12:45] みたいな飛びとかやってたしね。うん。
[01:12:48] パンチも右ストレートいいし。うん。
[01:12:52] ピットブル兄弟と一緒に練習してんだよね
[01:12:54] 。うん。全然勝てる可能性あると思うんや
[01:12:57] けど
[01:12:58] 。うん。俺ね、これ1番危ないと思うのが
[01:13:03] アウストの下からの腕十字。これだけは
[01:13:06] 絶対気をつけた方がいいと思うよ。
[01:13:08] めちゃくちゃいい入り方してた。うん。で
[01:13:11] 、そんな練習できてんのかなって思う。
[01:13:13] スザリオ強しがなかなかAB級で下から
[01:13:16] できるやつっておらんと思うよ。ま、日本
[01:13:18] だったら俺はしか思いつかんけど、これ
[01:13:22] マジ危ないよ。上取ったとこで下からの
[01:13:24] 十字がで、俺は、え、それで最終的にやら
[01:13:30] れちゃうんじゃないかなって思っちゃうん
[01:13:32] やけど。うん。日本人としてね、
[01:13:34] スタリオジ頑張って欲しいんですけど。
[01:13:36] うん。なんか打撃のうん。コーダーで
[01:13:40] スピードが軽い分の方があって、え、ま、
[01:13:44] KOされることあんまり考えづらいとは
[01:13:46] 思うんやけど、ストレートとかもらって
[01:13:49] ちょっと嫌になってきて誰を強行って下
[01:13:53] からの十字でアウストが1本勝がち2
[01:13:57] ラウンドうん。予想にしておきます。でも
[01:14:01] スダリオ強しが腕十字の対策さえちゃんと
[01:14:03] できてたら低くとも全然できると思うし
[01:14:07] あっさりチョークかなんかで負けてる
[01:14:09] シェアもあったんよな。え、そんな感じ
[01:14:11] なのってディフェンス全然できんなと思っ
[01:14:13] た試合もあって。いや、でもね、俺が
[01:14:16] スタリオだったとこテイクダ行くの怖いな
[01:14:18] 。川ディさんがね、テイクダを行けって
[01:14:19] 言ってたけどめっちゃうまいよ。したから
[01:14:22] マジ見事だった。十時の入り方。うん。
[01:14:25] ギリギリ決まってなかったんやけど。うん
[01:14:27] 。それがでも対応できるならしっかり
[01:14:30] マットに絶対手を置かずに、え、体の上に
[01:14:33] 手を置いて脇をめてそっからパウンド打っ
[01:14:35] ていって、ま、パスしたいよね。そういう
[01:14:38] 下から得意のやつにもパスしたらそれが
[01:14:40] 無効化できるんで。うん。サイドとか特に
[01:14:43] マウント取れば多分何もできないはずなん
[01:14:45] で。マウント取ればなと思うけどどっち
[01:14:48] かって言ったらアウグスト予想打撃でも
[01:14:51] ちょっと有効打で、え、アウグが上回って
[01:14:54] 最後下から十字2ラウンド。はい、予想に
[01:14:59] しておきます。はい、そんな感じでは次
[01:15:02] 行かせていただきます。え、次が第12
[01:15:07] 試合上田三Vさ
[01:15:10] シ馬、え、この試合なんですけど、これで
[01:15:14] 僕上田を勝利予想にしてたと思うんです
[01:15:18] けど、川尻さんとの勝敗予想で。ここ僕
[01:15:22] すいません。え、しびさ馬に変更ではい。
[01:15:26] 変更にしておきます。
[01:15:28] え、あれから、あれからというか今日です
[01:15:30] ね、結構昨日の深夜から、ま、見てたん
[01:15:33] ですけど、清祭シ馬のスリオ戦って
[01:15:37] 素晴らしいよね。やっぱりでもね、関根
[01:15:40] さんとの試合が俺の脳りを泳ぎって頭に
[01:15:44] こぼりついてて悪いイメージがあったんや
[01:15:46] けどうん。それをいつまでもねうん。
[01:15:50] 考えんのも良くないしうん。俺サトシとか
[01:15:53] もジョニーケース戦がずっとこぼりついて
[01:15:56] て、こぼりついてたけど全然ね、そんな
[01:15:58] ことないしま、ピットボル戦でそんな試合
[01:16:01] も無視やったけどうん。全然気持ち弱く
[01:16:03] ないしうん。せもいつのこともいつまでも
[01:16:07] 関根さんのこと引きずんのも違うかなと
[01:16:09] 思うし。とにかくスダリオ戦が
[01:16:11] 素晴らしかった。普通相手に前に行くのっ
[01:16:15] て怖いと思うけどずっとプレッシャーかけ
[01:16:18] てジャブがつけるしね。
[01:16:20] まずうん。B級で珍しいなんかマジ軽量球
[01:16:25] みたいな戦い方できんのよね。しさってで
[01:16:27] テイクダウンも素晴らしいしうん。
