[00:00:02] 2024年首都圏初開催になりますヨボ
[00:52:12] ことで皆さんにですねえ色々伺ってきまし
[00:52:14] たけれどもえそれではえ実演技術解説を
[00:52:17] この後お願いします井沢選手には
[00:52:19] オールラウンダーの金原選手ならこうする
[00:52:22] え打撃の得意な白川選手には鈴木千選手
[00:52:25] ならこうするという解説をコナーとして
[00:52:27] いただきますはい続いての技術解説はえ
[00:52:30] 鈴木千選手と金原マオ選手の1戦タイトル
[00:52:32] マッチになりますえでは伊選手金原正典
[00:52:37] 選手の動きを見せていただきますかはい
[00:52:40] はいもう金原選手は打撃距離取って
[00:52:44] しっかり見てジャブがめっちゃうまいんで
[00:52:47] ジャブこうつきながら入ってくると思っ
[00:52:49] たらついて入んないようにしながら突き見
[00:52:52] てま鈴木選手打った時とかに多分入ってく
[00:52:55] と思いますおおで入ってったらそのままま
[00:52:59] テイクダウンしてあとはもううん一生片方
[00:53:03] 目を狙い続けるからそっからポジションを
[00:53:07] 変えてやっていくんじゃないかとなるほど
[00:53:10] 思いますポジション変えてトップキープし
[00:53:12] てってそうですトップキープやっぱりあの
[00:53:14] クレベル選手ですらうんうんうんうん
[00:53:17] トップキープをして自分の展開を作り続け
[00:53:20] ただけの寝技力を発揮すると思います
[00:53:25] なるほどさそれではえストライカーという
[00:53:27] ことでえ鈴木千選手によってえそうはい
[00:53:31] 鈴木選手はままずもうどんどん
[00:53:34] プレッシャーかけていくと思いますこう
[00:53:35] やってはいはいでこう思いっきりロングの
[00:53:39] ストレートを打って相手がここに反応して
[00:53:42] きたと時とかにくぐりながらフックとか
[00:53:45] 打つねくんでおはいはいでまそういうそう
[00:53:49] いうのを見しながらうん三日月とか売っ
[00:53:52] たりローカーフも売ったりケリもちょい
[00:53:56] ちょい左で見せながら着地と同時にガン
[00:54:00] ガーンてこう思いっきりツフック打ったり
[00:54:02] とかしてプレッシャープレッシャー与えて
[00:54:04] いってでタックル着てもまタックル着ても
[00:54:07] しっかりとこの4つのうん組みででもここ
[00:54:11] の工房めっちゃ強いと思うんででこうリ
[00:54:13] ロープ際でええしっかりとこの形を作って
[00:54:16] うんこのゴリラの体勢ですねゴリラの体勢
[00:54:18] が強いんで4つ海とかにこのここで
[00:54:22] しっかりとこうディフェンスして入れ替え
[00:54:24] てうんまたこうロープギアに自分がこう
[00:54:27] プレッシャー当たっていっておっていう
[00:54:30] 展開を作っていくんじゃないかなと
[00:54:32] なるほどいやこれどちらの可能性もあり
[00:54:34] ますねえだからこそ勝のなるカードだと
[00:54:37] 思いますえフザ級タイトルマッチ王者ス
[00:54:40] 選手対え挑戦者金原正典選手皆さんご期待
[00:54:47] くださいえさてえここまでですねえ皆さん
[00:54:51] には5試合解説していたいたんですけれど
[00:54:53] もえいかがでしたでしょうかプレゼンツ6
[00:54:56] 非常楽しみなカードが揃ってますねま他に
[00:54:59] もねえいろんなカードが組まれてます
[00:55:01] けれどもどうですかあの注目のカードって
[00:55:05] いうのはやっぱ我々のねやっぱ同門である
[00:55:08] あのjttの同門であるま西谷はいの試合
[00:55:11] はやっぱ注目してますね高木選手とそう
[00:55:14] ですえこの試合もねちょっとこう
[00:55:19] 西谷はもう怪物君にね衝撃的な警報を負け
[00:55:24] してからの不戦なんでね
[00:55:27] やっぱどう同じも同期として同期として
[00:55:31] ですかあどうよいやでもここは負けられ
[00:55:33] ない試合すよねやっぱり西谷君のうんうん
[00:55:36] うんどうですかま買ってほしいよね
[00:55:40] まあまあ俺もちょっとこの試合西谷君の
[00:55:43] セコンド使してもらうんであそうですかま
[00:55:45] しっかりあのもう買ってもらえるようにま
[00:55:48] 全力を尽くそうとははい予想はどうですか
[00:55:52] そうですねこの試合は西谷の3ランド慶
[00:55:56] 負けです
[00:55:57] ねどうしてちなんですけどでも
[00:56:01] あのまあね詳しいことはちょっと作戦なん
[00:56:05] でねセコンドなんでちょっと言えないん
[00:56:07] ですけどはいまあの高木選手とちょっと西
[00:56:11] 君もう西君も本当にこう実力ついてきてる
[00:56:13] んでで高木選手ももうリーチあってで鈴木
[00:56:17] 選手とね同門ですもんね一緒にこう退修業
[00:56:20] とか行ったりとかそこでもやっぱもっと
[00:56:22] スキルアップしてると思うんでまこの試合
[00:56:24] も非常にこう盛り上がるになるんじゃない
[00:56:26] かなとははい思っておりますなるほど伊沢
[00:56:29] 選手伊沢選手他にもカードありますかえ
[00:56:32] 篠塚タ選手のベアナックルうんはいやり
[00:56:35] ますね確ええええルールがもうバンテージ
[00:56:38] だけそうですバンテージだけですもんねで
[00:56:41] パンチだけうんパンチだけなんや過激です
[00:56:45] よしかも2分5ラウンドですねパンチだけ
[00:56:47] 2分5ラウンドラ2分ラウンえい激しいす
[00:56:50] ね2分そう初めてだからどんな感じなの
[00:56:54] かっていうのがもう道すぎ気になってます
[00:56:58] これシジさんとかに言ったら喜んでしそう
[00:57:00] じゃん確かに確かに俺行くよとか言ってこ
[00:57:04] でもなるほど出てくる可能性があるとお
[00:57:08] ベアタックルやばいなこれ今回見て
[00:57:11] 面白かったらちょっとずつ増えてったら
[00:57:13] 面白いですねなるほど増えるか増えすごい
[00:57:17] ことなってますね危なすぎてねそして広
[00:57:21] 選手はどうですか他のカートに関しまして
[00:57:22] は気になるカートてありますあいやでも僕
[00:57:25] もベアナックルだったすね
[00:57:26] うはいはい面白いしましかも花があって
[00:57:31] なんかこの人いいなって思ってたんでうん
[00:57:33] どんな試合になるのかなっていうまベア
[00:57:35] ナックルで2分5ラウンド激しいすよね
[00:57:38] うんもうやっぱこれこのこれも楽しみじゃ
[00:57:42] ないいやどうですかあブラックパンサー
[00:57:45] ベノV井上遊作そうえ井上遊作選手そう
[00:57:50] いえばなんか雷人のえ名古屋の
[00:57:53] ランドマークの時に一緒の大会で出てはい
[00:57:57] うんなんかすごい落ち着いてるなっていう
[00:58:00] イメージでしたね試合中も試合終わっても
[00:58:03] すごいそんなイメージででレノ選手って今
[00:58:06] あれでしたよねあのそうえAKAAKA
[00:58:11] って練習しえあそうそうぬるまぬるまメド
[00:58:14] フのジムでどれぐらい行ってるんですか
[00:58:16] もうあれ1年ぐらい行って1年ぐらい行っ
[00:58:18] てんじゃないですかしかもコミもいたって
[00:58:20] いうね公宮さんのねえガチのブラック
[00:58:23] パンサーになって帰ってくるガチで
[00:58:26] だってやっぱ言われてましょもタイとかに
[00:58:28] でけこ行った時にこの髭繋がってるやつと
[00:58:31] はスパーリングすんなって言われてたな
[00:58:34] からダゲスタン系ですよねいや俺らの時も
[00:58:37] 髭集団だけくそ強かったジでほんまにもう
[00:58:41] やばいんすよもうレスリング力もそうです
[00:58:45] しなんかパワーとかもあいつは壊しにくる
[00:58:48] んでほんまにあなんかそうらしいですね
[00:58:50] あのタイガー隊でも結構壊しにくそうな
[00:58:53] タイガー隊でももう絶対するなって言われ
[00:58:55] てたんですえ髭繋がってる髭繋がってる
[00:58:59] 多分そのAKAって髭繋がってる人だらけ
[00:59:01] でしょはいなんやったらベノ選手も髭
[00:59:04] 繋がってた
[00:59:05] でしょでしょこれやばいっすよ多分この
[00:59:13] 試合えそれでは皆さんにねえ最後ファンの
[00:59:17] 皆さんにメッセージをお願いしたいと思い
[00:59:18] ますがま今後のファイターとしてのお展望
[00:59:21] も含めてえお話ししていただけますか伊沢
[00:59:23] 選手はいまあ今3階級チャンピオンになっ
[00:59:27] たのでまこれからどんどんもっと強くなっ
[00:59:30] て今jttですごい成長してると思うので
[00:59:34] その姿を皆さんに見せれるように元々
[00:59:37] 頑張っていきたいと思いますラジ46も
[00:59:39] すごい楽しみなのでここでまた刺激を
[00:59:43] もらってさらに強くなっていきたいと思い
[00:59:45] ますはいありがとうございますありえ白川
[00:59:48] 手はいえっとですねま井沢選手はもう2
[00:59:51] 階級チャンピオンでて紹介でで君はあ回
[00:59:56] チャンピオン倒したひや君て紹介でで僕
[00:59:58] だけあの勝敗予想が好評な白川さんていう
[01:00:01] 紹介だったんでまそれをねそういう紹介を
[01:00:04] も誰々チャンピオンを倒したとかま雷人
[01:00:07] チャンピオンになってるみたいなになる
[01:00:08] ようにあのそういう肩書きを得れるように
[01:00:11] 前もそうやったんですよ僕だけ総合格闘会
[01:00:13] やったんですよあのサムネがレスリング銀
[01:00:16] メダリスト何々級チャンピオン何々級
[01:00:18] チャンピオンこの人チャンピオン僕だけ
[01:00:20] 総合格闘か肩書きがだからそういう何か
[01:00:23] 肩書きを得れるようにちょっとあの今年は
[01:00:26] 頑張っていこうかなと思ってますまあね
[01:00:28] あの長い間にこうリハビリがあって経過が
[01:00:30] あってなかなか戦えなかったっていうね辛
[01:00:33] さあったじゃないですかバンバン試合して
[01:00:34] いもうあの去年からねあの復帰した
[01:00:37] ばっかりですようんだからこっからですよ
[01:00:40] ねいやこっからはい本当にそうですもう
[01:00:42] こっからちょっと楽しみにしとって
[01:00:43] くださいはい楽しみしております
[01:00:44] ありがとうございますはいそして平選手
[01:00:46] はいお願いしますえっとまアメリカで3
[01:00:49] ヶ月まUSファイターたちに揉まれて
[01:00:52] とても強くなって帰ってきてるんで本当に
[01:00:54] そこはまあ前よりもね面白い試合がもう
[01:00:58] 本当に今心の底からマジで面白い試合がし
[01:01:00] たいなっていうのがもすごいあって本当に
[01:01:03] ま絶対にま勝てる自信ももちろんあります
[01:01:06] しまそこを楽しみにしてほしいなとまこの
[01:01:08] R46ますごいいいカードなんでペーパー
[01:01:11] ビューでの応援皆さんよろしくお願いし
[01:01:13] ますま平選手と言いますとねあの私も店が
[01:01:16] 実況させていただきましたけれどもあの
[01:01:19] エリ&amp;ビリのね2人のね指導によってもう
[01:01:22] 自分の伸び率はもうものすごく上がったと
[01:01:25] いや本当そうねおっしゃってましたけれど
[01:01:27] もあの改めてえ向こうではアメリカではえ
[01:01:31] どなたがコチについて教えてくれと思あ
[01:01:33] もう僕はビリーコーチの家に泊まったり
[01:01:38] もうずっと3ヶ月そのビリーと2人で
[01:01:40] ずっと共同生活してもう食事からもう睡眠
[01:01:44] から全てもうビリーの言うことをずっと
[01:01:46] 聞いた3ヶ月だったんで本当にま濃い3
[01:01:48] ヶ月だったなっていうはいうんどこら辺が
[01:01:52] ご自身の中ではまた伸びたなっていう風に
[01:01:53] 思いますあ本当に全て伸びてますもうで
[01:01:57] あったりスタミナであったりま1番はでも
[01:01:59] マインドていうか気持ちの作り方でああっ
[01:02:02] たりまその格闘化として1番大事なところ
[01:02:05] だったんだなっていう風にビリーに
[01:02:06] 気づかされましたねうんま確かにねその
[01:02:09] 気持ちの部分っていうのはね本当にあの
[01:02:11] エリー&amp;ビリーね教わってね変わってっ
[01:02:13] たっていうおうんまあだからそういう
[01:02:16] 気持ちがね全面に出た戦いおさかも見せて
[01:02:19] くれたんだと思いますが次の試合も楽しい
[01:02:20] 次の試合の方がもっと楽しいと思うんで皆
[01:02:23] さん期待て期待しててくださいはいはい回
[01:02:26] 行ってさらにオスになって帰ってきた言っ
[01:02:27] てましたお向こうでテストステロンもう肉
[01:02:30] 食いましなど確かになんかすごい食べてる
[01:02:33] 写真見ましてほんとすかずっと食べてたす
[01:02:36] ねすごいです体もでも大きくなってますよ
[01:02:38] ね今ちょっと大きくなったすはいもっと
[01:02:40] 大きかったんすけどちょっと減量しました
[01:02:42] ねはいであのお二方え白川選手と広谷選手
[01:02:48] はいえ大会当日も何登場されるそうです
[01:02:53] ユクさんの裏はいあの試合中喋ってくれる
[01:02:57] ということですそうですねはいいつも通り
[01:03:00] そうだねいつも通りの感じで大丈夫ですか
[01:03:02] だもう家で試合見てる感じで喋っとった
[01:03:04] でしょはいはいなんかあのユネさんからは
[01:03:06] お酒も用意しますたんて話最高じゃない
[01:03:08] ですかありがとうございますありがとう
[01:03:10] ございますいただきますもうお酒名物ねお
[01:03:12] 酒を名物にしてるとユネさんが最初です
[01:03:14] からねええですそこで誕生したの僕コテさ
[01:03:17] んっていうね名物解説者
[01:03:21] ですですかそれ本番でできるってことです
[01:03:23] からね伊沢選手は本番は自分は会場に見に
[01:03:27] 行きほ会場に見に行くとはいうん横で見
[01:03:31] ますなるほどはい楽しみしてますねあの皆
[01:03:34] さんのね今後の戦いもそしてえまたユネス
[01:03:36] での白川選手と平井選手トークにもご期待
[01:03:40] いただきたいと思いますということで皆
[01:03:41] さん本日はどうもありがとうございました
[01:03:43] ありがとうございましたえヨボプレゼンツ
[01:03:45] ラジ46はユネで生中継しますので是非
[01:03:48] 流しのないようお願いいたしますえそれで
[01:03:50] はこれからもユネで格闘技をお楽しみ
[01:03:52] くださいありがとうございまし
[01:03:54] たあ
