[00:00:00] じゃあ50終わりますありがとうござい
[01:04:42] 村井級行って
[01:04:44] 堀口選手がフライ級で
[01:04:48] まあそう今ディープでねフライ級の
[01:04:51] トーナメントやってるじゃないですかそう
[01:04:52] ですねというのもあって今
[01:04:55] フライ級がどんどんどんどん
[01:04:56] 盛り上がってますねちょっとありますよね
[01:04:58] あと
[01:05:01] 伊藤誠一郎がパンクラスフライ級あいき
[01:05:04] ましたねはい
[01:05:05] 出場して
[01:05:08] という感じで
[01:05:10] なんかどんどんどんどん活性化されていく
[01:05:12] なあというイメージですね
[01:05:15] 逆にバンタムがまあ
[01:05:17] 上が抜ける感じですね大久保選手と堀口
[01:05:19] 選手とか
[01:05:23] チャンピオンですからねあれ
[01:05:25] 井上直樹選手って
[01:05:27] 元々バンタムだったんですか
[01:05:29] UFCはフライでやってましたね確かに
[01:05:34] 危ないから
[01:05:36] 落とせるのかもしれないですね
[01:05:40] [音楽]
[01:05:44] 堀口選手雷神のフライ級やるのかなどうな
[01:05:47] んすかね
[01:05:49] ベラトールってフライ級はあるんですか今
[01:05:51] はないです今から作るんだと思います
[01:05:58] 今から
[01:06:00] だって本人はuaceに戻りたいんです
[01:06:03] もんね
[01:06:04] 多分最終的にはそうなんじゃないですか
[01:06:05] ねえもう
[01:06:07] 知名度
[01:06:08] 上げた上がったから
[01:06:09] もうあまりない雷神はあれなんじゃない
[01:06:12] ですか
[01:06:14] あんまり
[01:06:15] 魅力はないんじゃないですかね本人にして
[01:06:17] みればベラトールでフライ級取って
[01:06:20] UFC行ってみたいな
[01:06:24] 考えじゃないですかね年末大臣やんない
[01:06:27] ですかね堀口選手それこそフライ級転校の
[01:06:29] 試合とかやったら盛り上がりますけどねあ
[01:06:31] 大臣
[01:06:33] プロ野球年末に
[01:06:35] 相手はようわかんないけど
[01:06:37] 心理でもいいし竿もっととか
[01:06:48] あるんですけどね
[01:06:50] [音楽]
[01:06:52] だったら
[01:06:54] キムスーチョンとバンタムでみたいな
[01:06:56] とかだからまあでもフライ転校するんだっ
[01:07:00] たらフライの
[01:07:01] 誰か
[01:07:02] それこそ真竜戦してもいいし
[01:07:06] 森林先週はなんか決まってましたよねUC
[01:07:09] の何かは
[01:07:12] 通じる
[01:07:13] また2軍みたいな団体のタイトルマッチ
[01:07:17] ですよねあの平田
[01:07:20] 直樹選手と2人
[01:07:23] [音楽]
[01:07:24] 確か11月11だったかな
[01:07:28] [音楽]
[01:07:31] そうか心理戦車来月海外行きたいと思い
[01:07:34] ますねまあでもフライはまあねそうも暑い
[01:07:38] し今そうですねしかも堀内選手が来るん
[01:07:42] だったら
[01:07:43] 外国人でもいいかもしれないですまあ
[01:07:45] いろいろ
[01:07:46] 見たいですね
[01:07:49] ぜひ今なんかUFCもねフライ級は
[01:07:51] どんどんまた
[01:07:53] 活性化してきてますよね
[01:07:56] そうですね
[01:07:59] [音楽]
[01:08:02] やっぱりあの
[01:08:04] 堀口選手がフライ級に落とすって言ったの
[01:08:06] はやっぱ
[01:08:07] ミックス戦でこれ
[01:08:10] 叶わないなと思ったんですかね
[01:08:12] デカすぎますからね
[01:08:14] あれどうしようもないっすもんねあれあれ
[01:08:16] で4文字
[01:08:17] ロックされたら
[01:08:20] 本当にどうしようもなかったですもんね
[01:08:21] よくあれだけやったかやったよって感じだ
[01:08:24] と思います
[01:08:26] あれで限界感じたんすかねやっぱ
[01:08:30] 通常体重で堀口先生65キロぐらいだって
[01:08:33] いう話なのでまあそのそれでバンタムで
[01:08:36] 試合するのもねかなり無理がありますから
[01:08:38] ね
[01:08:41] [音楽]
[01:08:48] 明日から
[01:08:51] そうですね
[01:08:53] まあそんな
[01:08:54] 感じですかね
[01:08:58] 心理を堀口は熱いああそうですね
[01:09:02] その頃には吉永君だってひょっとすれば
[01:09:04] 大物かもって言ってますけどね
[01:09:07] どうですか
[01:09:11] 階級も
[01:09:12] 上げなきゃいけないしアストロか
[01:09:15] まずはストロー本当にでもね後ろめっちゃ
[01:09:18] 強くなってるんでね楽しい
[01:09:21] 今回は今回あと何試合ぐらい勝てば
[01:09:25] タイトルマッチいけそうなんですか
[01:09:27] あと3ぐらいじゃないですかあと3回今回
[01:09:31] 合わせて3回までも言っても勝ち方ですよ
[01:09:36] 前
[01:09:37] みたいなまぁ前みたい前も買ったんすけど
[01:09:39] 全然普通に買ったんすけど
[01:09:42] 感じだと
[01:09:43] トントントントンと上がれないですよね
[01:09:44] やっぱフィニッシュ
[01:09:47] フィニッシュして
[01:09:50] フィニッシュして5位ぐらいとやって5位
[01:09:54] に
[01:09:55] ポーンって買ってでじゃあ次上位ラン
[01:09:58] カーってやってっていう感じなんじゃない
[01:10:00] ですか
[01:10:04] まあじゃあ今回のね
[01:10:07] 価値はねもう
[01:10:09] 必須っていう感じですね
[01:10:12] [音楽]
[01:10:14] 関口対石田健の感想を聞きたいっていう
[01:10:17] ことですけど
[01:10:17] 娘さん
[01:10:23] 関口選手が
[01:10:24] すごかったですね
[01:10:27] まさかの関節を
[01:10:31] 何でもやっぱできるんですねあれぐらいの
[01:10:34] レベルの選手っていうのはなんか打撃の
[01:10:36] イメージだけど結局
[01:10:37] うん
[01:10:45] はいまあそんな感じでいいですかね
[01:10:53] じゃあ明日ちょっと試合のセコンドで全員
[01:10:59] リアルタイムではライジングが見れないの
[01:11:02] かなしかも試合時間も多分かぶってるん
[01:11:04] ですよねはい
[01:11:07] なので
[01:11:08] 終わってからなんかできるかどうかは
[01:11:10] ちょっと何とも言えないですねそうですね
[01:11:13] あとほら20時から
[01:11:16] UFCが
[01:11:18] あってそれもそうですね
[01:11:23] じゃあちょっと明日はあれですかね
[01:11:26] ね
[01:11:30] できないと
[01:11:32] いうことで
[01:11:34] はい
[01:11:36] はい
[01:11:37] みたいなやればいいですねまたちょっと
[01:11:39] タイミング見てはいやりましょうよろしく
[01:11:41] お願いしますはいじゃあそんな
[01:11:45] わけで今日は
[01:11:47] 終了にしようと思います
[01:11:50] じゃあありがとうございましたありがとう
[01:11:52] ございました
