[00:00:00] ハローハロー。
[00:41:51] やっぱりこうコントとかでさ、違うよく演じるじゃん。はい
[00:41:55] はいはい。いや、まあね。
[00:41:56] コント技まんだよ。
[00:41:57] でもそんなも
[00:41:58] ジさんもコントとかやってた。
[00:41:59] やってました
[00:42:00] でしょ。
[00:42:00] でもそんな人よるし。
[00:42:02] いやいやいやいや
[00:42:03] てかね。わかるって多分俺が演技でそんでやってたらでもやっぱアサシンとかには色々伝わってるんだ。俺の愛が。だ
[00:42:09] 好きじゃないとこんな語りないっすよ。
[00:42:11] だからアサシンを取り込めばいいっぱい再生数伸びるから。
[00:42:15] いや、それだったら僕ね、朝倉ミ三クレベル絶対買ったって言ってますよ。
[00:42:18] 絶対買った。買ったって。
[00:42:20] 青木さんのように。
[00:42:21] 青木さんのようにさんのあれ。
[00:42:22] うまく取り込みましたね。
[00:42:24] 青レベル動画すごかったんでしょ?
[00:42:26] めっちゃめちゃくちゃの見てました。
[00:42:28] おお、すごい
[00:42:30] ね。はい。で、え、川じさんはどっち?
[00:42:33] これは僕もシェリードライクです。
[00:42:35] 同じようにはい。
[00:42:37] やっぱ高木涼線もそうだし
[00:42:39] はい。
[00:42:40] あの中原戦も
[00:42:41] 1ラウンド目は
[00:42:42] はい。
[00:42:43] なんか中原が打液撃で攻めてった。
[00:42:45] あ、そうですね。その試合もあったわ。
[00:42:47] ま、スロースターターなのかなと思いつけど、
[00:42:49] 223ぐらいで
[00:42:51] やっぱり
[00:42:52] テンポアップして中原選手はそれになんかついてこれなくて
[00:42:56] そっか、そんなこともありましたね。
[00:42:57] うん。
[00:42:58] けど中原選手タックル行ったりもしてたしそれでスタンドバックから取らえても
[00:43:03] なかなかテイクラン難しかったですけどね。
[00:43:05] うん。テイクランできてないけど、けどスタンドバックとか行ってたから全然シドライクが普通に組みついて
[00:43:12] うん。
[00:43:12] 僕は寝技で1
[00:43:13] 本取っちゃうんじゃないかなと思います。
[00:43:14] [音楽]
[00:43:15] これそパワーが違いすぎますよ。
[00:43:17] レリも能力あるけど、もうパワーが違う。持って生まれたらパンチも全然質が違う。
[00:43:22] ああ、パンチも
[00:43:23] パンチもシードのパンチまあるけどテクニックは
[00:43:27] まあでもそれはまだわかんない部分あるんす。でも最初来た時って人にめっちゃ大ブりだったけど最近そうでもないし
[00:43:33] だったじゃん。今まっすぐ打てるようになった。
[00:43:35] これスニックの蹴りがあるじゃん。
[00:43:37] はい。
[00:43:38] あれ結構嫌じゃん。ヘイドラ
[00:43:39] いやとは思うけどあの後ろ信だったらそんな有効には切れないはずです。いつもみたいに。
[00:43:43] へえ。頭を下げづらいじゃんけ。テイクダウンとか。
[00:43:46] うん。いや、まあまあまあでも
[00:43:48] で背も高いからさ。
[00:43:49] ま、だからやりづこのコレスに
[00:43:52] 1
[00:43:52] 個やりやすいやつがいないとは思うすけど。
[00:43:54] うん。うん。
[00:43:54] でもやっぱ全局面でシェドライブで圧倒すると思うすけどね。
[00:43:58] 結構リーチさあるスタンド。
[00:44:01] まあね。あとま、蹴ってくるづらいでしょうけど。
[00:44:04] どう入るかじゃない。あの、
[00:44:04] でもパンチできるんじゃないですか?普通に単純に
[00:44:07] KOできる気がしますけど。
[00:44:08] え、パンチ入る?だ、距離
[00:44:10] 結構パンチて
[00:44:12] まあまあまあでも踏み込み早いじゃないですか。
[00:44:14] ああ、
[00:44:14] でクレベルってめちゃくちゃいいすよ。あれにあんな当てて倒してるんすよ。
[00:44:18] そっか。
[00:44:19] クレベルけどクレーベルあれロープしってた状態でしょ。後ろ下がれない。
[00:44:24] まあまあいいつもあの悪い癖ですよね。
[00:44:25] うん。そこ読んでたじゃん。
[00:44:27] うん。
[00:44:28] 打撃はコレスニックかなと思うけど。
[00:44:30] でもちょっとそこが見たいすけどね。制度。
[00:44:31] ま、そこが見たいね。コレスだったらありえる。反転まで行ってくれたら。
[00:44:36] うん。うん。うん。あ、こういうとこ意外とこういうのなんだって見せてもらわないと
[00:44:41] 困るよね。
[00:44:42] 雷人フェザー級で勝てる人いなくなっちゃうでしょ。
[00:44:45] これ、
[00:44:46] コレス圧勝したらもういよいよ
[00:44:49] いよいよやばいすよね。[音楽]
[00:44:50] うん。
[00:44:51] いや、でもうちのみくちゃんが、
[00:44:53] あ、みくちゃん
[00:44:54] 恐ろしいことシートライフル言ってたみたいですね。あそこからみくるとやりたいって。
[00:44:57] ええ、
[00:44:58] みくちゃんはこの少々とやるみたいな感じで流れなってますよ。
[00:45:00] ああ、いい。見たい
[00:45:02] ね。怖い。見るの
[00:45:04] [音楽]
[00:45:05] 見たい。
[00:45:06] はい。見く
[00:45:06] けどテイクダウンゲームだったら意外と穴があるとかあるかもしんない。
[00:45:11] あの、自分でテイクランするのあれだけど、テイクランされて押さえこになったら何もできない系いるじゃん。
[00:45:17] うん。うん。まあね。いや、しかも
[00:45:18] わかんないよね。そこを見せてないから。
[00:45:20] クレベルってと対戦する時って別に大怪我する感じはしないじゃないですか、絶対。ま、ほぼ
[00:45:25] うん。うん。
[00:45:26] 生徒ライフは大気がする可能性があのパウンド地獄で久保死にかけてたよ。
[00:45:31] あれも朝倉めくりだったらもう出身進してるやつ何人かいると思うんですよ。もう怖くて。
[00:45:35] うん。うん。
[00:45:35] ミくるがって。
[00:45:36] ああ、ファンがね。
[00:45:38] はい。アサシンが確かに失ってそう。
[00:45:40] [音楽]
[00:45:41] 勝てます。勝てますかね。でもシードレイフの幻想が大きくなればなるほどここも圧倒して朝倉みがもし買った時のこの大爆もうお祭りですよ。
[00:45:50] いやだいやだからさがさ[音楽]
[00:45:54] 幻想が高すぎるじゃん。
[00:45:55] 高すぎる
[00:45:56] でそんなことありえんのって俺はまだ疑ってるから。
[00:46:00] そんなことあるなんギスだっけ?どこだっけ?から来てたくさんの選手が
[00:46:07] 1
[00:46:07] 人来た選手が
[00:46:08] はい。
[00:46:09] それってすごくない?
[00:46:11] いや、でもキルギスの一応フェザー級では頂点でもあるでしょ。
[00:46:13] え、他にもほら、パンクラスに来てる人とかいるじゃん。
[00:46:16] いやいや、そうですけどさすがにでも一番強いんじゃないですか?
[00:46:18] そうなのかな。
[00:46:19] うん。
[00:46:20] それだったらそいつもジン来るでしょ。パンクラスよりも正直。
[00:46:23] いや、だから全員を呼べないから1
[00:46:24] 人選ん柏さんが選んだのがシェイドライフだっただけで。うん。
[00:46:28] なん、たまたまそれがやばかったんじゃないですか。
[00:46:30] そう、そう、そう、そう。
[00:46:31] いや、だから何かしらそんなあるんじゃないかな。
[00:46:35] まあね。だからその穴が確かに見える可能性がある相手ではあるさ、コレス。うんうん。そう、そう。それに
[00:46:40] 1番いいな。
[00:46:41] 少なくもその穴が見えたら次は戦う相手朝倉三クとかがま、そこをついていったりとかもできるかもしれし。ま、結果出してるしね。朝倉見たいよね。
[00:46:49] でも俺は圧倒してほしいけどさらなる幻想を抱いて日本の壮大賞
[00:46:54] 朝倉三くちゃんが
[00:46:56] はい。
[00:46:57] うわあ。それそこで勝ったらすごいけど、
[00:47:00] そうなったら勝てると思えないもんね。
[00:47:02] あそこからビクの勝ちにしたのから
[00:47:04] [笑い]
[00:47:05] 忖度なしでか
[00:47:06] 余計怒られるぞ。これ余はい。
[00:47:09] 今初エドレフにさ
[00:47:11] はい。
[00:47:12] 朝倉三クのあのスタイル勝てると思えないよね。それだったら平本連ドあるでしょ。
[00:47:17] 朝倉三クって意外と殺能力すからね。
[00:47:20] ああ、
[00:47:20] 別に一撃で倒すパンチとかないじゃないですか。厳しい。
[00:47:24] 平本レンシドルフのちょっと可能性ありそうだね。そう。だからハイキックだったらあり得るかなと思う。だからコリスニックもハイキックだったら
[00:47:31] ああそっか。
[00:47:32] それをだ下にチラしてローとかカフあんま効かんかもしれんけどハイキック
[00:47:36] 1
[00:47:36] 戦はありえるんじゃないかと思ってくる時とかに
[00:47:39] 高いとこね。
[00:47:40] うん。
[00:47:40] なんかみくるちゃんもハイキックできるんで、あのドミネーター戦とか。うん。うん。
[00:47:44] あんなんだったらワンチャン
[00:47:46] ハイキックの軌動で膝に当たっ、膝が当たったりね。
[00:47:49] はい。
[00:47:49] アンチではなかなか難しいと思うけど朝倉みくちゃんだったらね。
[00:47:53] あ、確かに。
[00:47:54] いや、見たい。シドライフ。朝倉ミく見たいからシードルフ勝ってほしい。
[00:48:00] 見たい。
[00:48:00] 見たい。
[00:48:01] 結局もうそうなりそうすね。俺平本連と朝からくやるんじゃないかなと思ったけど。ま、ま、わからんけどそこ見たいな俺。
[00:48:07] でもま、シェドライフだったら、ま、負けてもまあいいっすもんね、正直。
[00:48:10] まあね、これ、ま、ビスターコリスに干渉したらね。
[00:48:13] はい。干渉したら、
[00:48:14] ま、普通に挑戦権1
[00:48:15] 番あんのにマ倉見くると思うし。クレベルにも鈴木にもってるから全チャンピオンにね、
[00:48:19] 2人とね。うん。
[00:48:21] はい。
[00:48:21] いや、今日どうなんだろう。
[00:48:23] コレスに圧勝しちゃったらちょっとマジでお手上げでしょ。
[00:48:26] でもアーチレッタにも圧勝してますからね。ま、一応過去の実績はすごいじゃないですか。で、クレベルにもですよ。
[00:48:32] アーチュレットって今すごいの知ってる?来人出てから
[00:48:35] またチャンピオンになってたよ。なんか
[00:48:36] まですよ。なんかUFC
[00:48:37] 目指してるんですよね。それが無理なら来人に出るみたいなこと。
[00:48:39] うん。うん。うん。
[00:48:40] 武田浩司から1本もすごいっすよ。
[00:48:42] あ、それもすごいね。それはすごいよ。確かに
[00:48:45] あれなんです。
[00:48:46] 武田浩司から1本すごいね。
[00:48:47] あの韓国のあいつ何でしたっけ?
[00:48:49] え
[00:48:50] え、名前忘れもた。キム太郎で買った。
[00:48:52] はいはいはい。
[00:48:53] え、ヤンジオン
[00:48:55] ジオもう圧殺してるし、もうこれ銀装で終わらせれる話じゃないです。たまたまとかじゃそ早そ早そうたらメンツにフィニッシュして
[00:49:02] マジか。武田浩司から
[00:49:04] 1本が散ったのはすごいね。
[00:49:05] 一応MMA
[00:49:06] の打撃とはいえ打久保優太混ってましたからね。
[00:49:09] 聞かせまくって。
[00:49:10] うん。
[00:49:11] もう化けもんですよ。お手上げ状態。全盛の川尻達也しかもう勝てるやついないんじゃないですか。
[00:49:17] いやいやいやいやいや。
[00:49:19] あとは大きしや。でもこの名がマジか。
[00:49:21] これ冗談抜きで川じさんから大きしんやしか
[00:49:24] いや、これコリスニックに圧勝したら俺でも無理だな、多分。
[00:49:27] あ、
[00:49:28] 幻想ありすぎるな、これ。やばいと思うよ、マジで。
[00:49:32] いや、マジでやばいっすよね。シートでも本気でやりたがってる感じの朝倉が僕かっこいいんですよね。
[00:49:33] [笑い]
[00:49:39] ああ、まあ、いいね。見たいね。平本レとか朝倉三クと
[00:49:42] 見たい。でも朝倉三倉くちゃんと逃げたのがかっこいいわ。
[00:49:45] あ、そうね。
[00:49:47] あんな定期ね、定期的に試合してるのすごいよね。毎年。ま、去年はさ、
[00:49:51] 1試合だったけどさ。
[00:49:52] はい。
[00:49:53] ね、今年で
[00:49:55] 今年3試合でしょ。
[00:49:56] はい。
[00:49:57] うん。ずっとやってんだよ。
[00:49:58] 特に鈴木千なんか前で手いとは言われてるけど、あそこ負けたらもうさすがに終わってましたよ。
[00:50:03] うん。
[00:50:04] 今日やって買ったクレベルにもすごいわ。俺ケチつけたもうたけど。判定ごめんね。あの頃、あの時は
[00:50:09] どう考えても三だと思っ
[00:50:11] どう考えてもおかしいですけどね。
[00:50:13] どう考えてもだと思った俺
[00:50:15] 1
[00:50:15] 分ごとにやって
[00:50:16] あ、ま、だからも対だけどそれはま、ま、ま、
[00:50:19] うん。
[00:50:20] それでも俺朝見くだと思っす。あそこは僕間違えてましたけど
[00:50:23] 2023年が
[00:50:26] 2年2回やってた。毎年23
[00:50:28] 回やってんだよ。
[00:50:29] 朝倉三くで
[00:50:30] 戦績もいいし。
[00:50:31] うん。すごくない?2023
[00:50:33] 年もあ、名ザ入れたら
[00:50:35] 3回やってんね。
[00:50:36] うん。
[00:50:36] 毎年
[00:50:37] ね、22
[00:50:38] 年はやってないけど、
[00:50:39] だけ金稼いでんのにね。それがすごいわ。
[00:50:42] やる意味ない。あ、ヤーマンか。ヤーマンとやったりさ。
[00:50:46] うん。やる意味ないじゃんと思っ
[00:50:48] 平本レンも試合やってほしいですよね。ま、ま、結果があるんでしょうけど。
[00:50:51] いや、けどそこですよ。やっぱり平本連はもっと試合してほしい
[00:50:54] ね。絶対した方がいいでしょうしね。彼にとっても
[00:50:56] 絶対強くなるし
[00:50:57] ね。
[00:50:57] うん。期待してるけどやっぱそこはね、ちょっと残念なとこあるね。平本選手は。
[00:51:01] うん。
[00:51:01] もっと見たい。
[00:51:03] もうシェドライフに買ったらもう平本ともやんやんなくていいと思うんですけどね。
[00:51:06] いや、やるでしょ。それ絶対見たい。
[00:51:08] あ、まあまあまあまあまあまあぜ。それが
[00:51:10] 1番見た。
[00:51:10] シェードライフより平本連戦が見たい。
[00:51:13] うん。まあね。
[00:51:14] うん。
[00:51:14] でもシェドライフあと1回あと2
[00:51:16] 試合契約って話じゃないですか?コレスに行くとま防衛戦多分あそこから見くるこの流れだったら
[00:51:23] それで逃げられたらの花にされたら来てなんか
[00:51:26] 2
[00:51:26] 番手決定戦みたいな感じに毎回になるんすよね。
[00:51:29] [笑い]
[00:51:29] 確かそれで1番こういうのはUSCってさ
[00:51:31] デビュー戦負けちゃう。
[00:51:32] うわあ、それ最悪すね。
[00:51:34] 全然UFC
[00:51:35] では通用しませんみたいな。そうそう。それで
[00:51:37] USA
[00:51:38] のチャンピオンになってくれるんだったらいいけど。
[00:51:39] はね、
[00:51:40] あの勢いのは
[00:51:41] はい。
[00:51:41] でも極端に動きが落ちる可能性もあるからね。
[00:51:44] UFC
[00:51:44] 出た途端にね。そうなった場合は俺はもう知らんと思って。
[00:51:48] 俺はそうに何も言わないっす。
[00:51:50] いつもの動きで負けるだったらしょうがないけどあれとかそれマジ十分ありえそう。
[00:51:54] あのなんか
[00:51:55] いやだってちゃんとやってんでしょ
[00:51:58] 検査。
[00:51:59] はい。いやいやいや、その尿
[00:52:00] 尿件ピ検査
[00:52:01] だ過去の思い出であのパッチミックスとかあれなんでこんな悪いのみたいな
[00:52:06] そんなんで負けたってそあれで
[00:52:08] パッチーミックス確かにそうだねそれなんでこんな極端でいいやわかんない何があったかコンディション悪いのかな
[00:52:14] そんなんで負けられたらまたでも複雑すねそらそれで
[00:52:17] あれ来人で同検査厳しい来人で
[00:52:21] はい
[00:52:21] アーチュレットが負け込んでてアメリカ戻って勝ってる
[00:52:28] はい
[00:52:28] う
[00:52:29] 何が言たいですか?
[00:52:29] いや、よくわかんないけど。
[00:52:30] 怖いこと言うとします。それ
[00:52:32] 確かにだって来人の同検査めっちゃ厳しいじゃん。まあまあ
[00:52:36] USと比べたらさ
[00:52:37] はい。
[00:52:37] あの抜き打ちがないからあれだけど
[00:52:40] 厳しくないでしょ、大臣。
[00:52:41] いやいや世界的に見たら
[00:52:43] はい。
[00:52:44] ま、
[00:52:44] ちゃんとやってんのは来人ぐらいじゃないの?その他の
[00:52:47] はい。
[00:52:48] ま、PLとUS以外はさ、
[00:52:50] てか俺別に生フがやってると思ってないですけどね。思ってないけど
[00:52:54] なんか、ま、あんだけ強かった色噂されされるじゃないですか。
[00:52:56] やってんじゃないか。で、してないことを願ってますけど。
[00:52:59] でもだから極端にコンディション落ちたら嫌やなっていう。
[00:53:02] [音楽]
[00:53:02] うん。2
[00:53:03] 連勝中ですよ。
[00:53:04] あ、アチレッタ。
[00:53:05] うん。ぶ、なんとかなんとか
[00:53:08] XFC
[00:53:09] うん。
[00:53:11] タイトルマッチやろ。も、
[00:53:12] それにも一応シェードライフは圧倒しますからね。ま、コンディションわからんけど。
[00:53:15] 確かいやでもでも
[00:53:18] 1番やっぱ楽しみ俺。セドライブ対コレス
[00:53:20] マジで
[00:53:21] どうなんのか。
[00:53:22] ああ、
[00:53:23] 興味深い。
[00:53:23] コレスももちろん簡単な相手ではないし勝てるやついると思うじゃ。コレスに日本人で
[00:53:28] いやなかなかないでしょ
[00:53:30] ね。めっちゃ強
[00:53:30] 全局があんできてめちゃくちゃ強いよ。
[00:53:33] めちゃくちゃ強
[00:53:34] だって30戦以上だって4
[00:53:35] 杯しかしてないわけだからね。
[00:53:37] はい。
[00:53:38] それにも圧倒すると
[00:53:39] それに勝ったらとんでもないよ。マジでとんでもないと思う。シ
[00:53:42] かも圧倒したらね。
[00:53:43] 圧倒したらやばいよ。マジで
[00:53:45] やばいす。でもこんなやつが1
[00:53:47] 人おるの面白いすけどね。ま、
[00:53:48] 面白いね。
[00:53:48] だから俺ガジャマトフもそういう存在になってほしいですよ。フラ級で。
[00:53:51] ああ、なるほどね。
[00:53:52] 可能性はあるじゃないですか。
[00:53:53] あるね。ここで勝てば。
[00:53:54] あとさっきの中国人のフェザー級のやつ。
[00:53:57] そんなんが出た方が俺は箱はすもんね。
[00:53:59] [音楽]
[00:54:00] はいはい。
[00:54:00] 俺はそういう強いやつが混ざってる方がおもろい。
[00:54:03] ま、だから1人2
[00:54:04] 人混ざると面白いけどいっぱい来ちゃうと。あ、まあ、ま、ま違う。いっぱい来たら
[00:54:08] 柏明さんも手抜いてほしいですよ。これ以上はもう、
[00:54:10] もうフェザー級はいいでしょ。中ね、中央アジャ系。
[00:54:14] はい。[音楽]今だって
[00:54:16] USとかも全部そうでしょ?US
[00:54:18] のチャンピオンのさ
[00:54:20] メラブドバリしびりとかもさ、みんなそっち系じゃん。
[00:54:22] はい。
[00:54:23] だからもう本当中東とかさ、そっち系、あとダゲスタンとかそっち系とかさ、
[00:54:29] はい。
[00:54:30] 全部あの、そっち系になってんじゃん。
[00:54:34] USも
[00:54:34] トップリアもそうでしょ?
[00:54:35] はい。はい。
[00:54:36] あ、パンジョンブラジルかメラブ
[00:54:39] ボルカンスキー
[00:54:41] はあれかオーストラリアちフとかさ
[00:54:45] うんうんうん
[00:54:45] うん
[00:54:47] アンカライフもそうじゃん
[00:54:48] はい
[00:54:48] 結構やばいよねシェフチェンコもそうだし
[00:54:51] ねてかあのフにつくやつがもうみんな巻きまくるし怖いじゃないですか
[00:54:55] うん
[00:54:56] 俺たちの井上直上だけは勝ちましたね
[00:54:58] しかも圧倒してさすが井上
[00:55:00] すごいんでしょ。
[00:55:01] そう。あ、相手ですか?アホマタリエフ。
[00:55:04] うん。うん。
[00:55:04] そう。で、ま、まずふがついてあんだ強いやつにさすがやっぱ井上だけは買ってくれるんやなと思いました。
[00:55:11] いや、俺全然ボクシング詳しくないからめっちゃ強いやばいやつだって言ってたじゃん。
[00:55:15] 今回やばいんじゃないかみたいな。
[00:55:17] 試合だけ見たら全然強い人見えない相手が
[00:55:21] ドリカスみたいな。ドリカスも強いようには見えなかったけどが強すぎて。
[00:55:23] [笑い]
[00:55:25] うん。全然強く見えなかった。相、あの人強かった。
[00:55:28] プロから見てもそうすよ。わからんようなの?それ。
[00:55:30] 相手が強すぎたら井は強すぎても
[00:55:33] もうわからんような。
[00:55:34] え、
[00:55:34] この人本当に強いのなっちゃうすよね。でもドリカスもあれだけ見たらなりません。ま、強いのは知ってるから。
[00:55:39] もね、1枚戦だ。
[00:55:40] 全然レスリングできない子かなと思いクさんから来た子かなって思うすよね。
[00:55:42] [笑い]
[00:55:45] 確か確かに。
[00:55:46] はい。まあ、じゃあそんな感じで川じさんと残りの試合
[00:55:50] サトした堀江とかは全部川じさんの方で残りの試合やってるんでそちらも見てください。で、また終わった後やりましょうよ。
[00:55:57] あ、やりましょう。
[00:55:58] 次の日とかいてます。
[00:55:59] 次の日
[00:56:01] 予定立てられるの嫌いだってますけど。
[00:56:03] あ、全然それは大29ですよね。29。
[00:56:07] え、29です。あ、
[00:56:08] はい。28日曜日なんでは28
[00:56:11] が来人でしょ。
[00:56:12] はい。
[00:56:12] うん。終わって多分名古屋から帰ってくる途中で寄ります。あ、分かります。じゃ、それで終わよんすか?止まって。
[00:56:19] そう。28止まって2829
[00:56:22] の朝またじゃここで
[00:56:24] 行くから。うん。ちょうど夕方ぐらいでしょ?
[00:56:27] うん。ちょうどいい。お願いします。
[00:56:29] その次の日に僕さ木さんの撮影しよう。
[00:56:31] おお、すごいな。いや、俺も佐原さんとか聞きに行きたいな。また
[00:56:34] いいじゃないですか。佐原さんの僕は嫌われてるんで永久に無理ですけどね。
[00:56:38] ちょっとお願いしてみよう。
[00:56:39] あと坂木原さんでやるみたいな
[00:56:40] いつかね。
[00:56:41] で、いつかっていう話して佐さんとか
[00:56:44] ま、佐藤大輔さんとかさ木さんとかい
[00:56:47] チャーリー柏さんとかともあと横島さんってあの女性
[00:56:51] もうちょっとやってみたいな。で、かこう佐さんまで行ってみたいな。俺はまあでも最ゲルちゃんさえ
[00:56:57] 1人いたらもうそれでいいの。
[00:56:58] 確かにすごいよね。
[00:56:59] はい。
[00:57:00] みんなね、面白いもんね。俺見ちゃうもん
[00:57:02] ね。
[00:57:03] 怒られるジョビさん。
[00:57:04] そう。さ木さんとのやつが好評なんで。
[00:57:06] はい。ま、僕はそれ大満足なんで。
[00:57:08] うん。いいすね。で、スポンサーまでやってね。お互い
[00:57:11] Weでさ、
[00:57:12] 素晴らしいよね。
[00:57:12] そう。スポンサーやってる感ゼロですけど。あんだ時怒られてたら
[00:57:14] [笑い]
[00:57:15] めっちゃ怒られてるし。
[00:57:16] あん時怒られてたらゼロですけどね。
[00:57:18] うん。で、すごいよね。
[00:57:20] はい。
[00:57:20] その刑ジもさ、
[00:57:22] そうなんですよ。
[00:57:22] さんでやってくれて、ま、もうあのディープ降臨のバーになってるんで、こちら
[00:57:27] 8時からなんで皆さんはい。
[00:57:29] 営業時間8時から
[00:57:30] から1時1
[00:57:31] 時まはい。
[00:57:32] おお
[00:57:33] なんでよろしくお願いします。
[00:57:34] お願いします。
[00:57:34] さん、またやってくれるんで1日。
[00:57:36] はい。
[00:57:37] また次の日に撮影感想よろしく。
[00:57:41] じゃ、終わります。ありがとうございました。
[00:57:47] です。
